Time	rn	Sensor	Source	SensorHeight	SourceArea	CE	CE_se	CE_lo	CE_hi	uCE	uCE_se	uCE_lo	uCE_hi	vCE	vCE_se	vCE_lo	vCE_hi	wCE	wCE_se	wCE_lo	wCE_hi	N_TD	TD_Time_avg	TD_Time_max	Max_Dist	UCE	Ustar	L	Zo	sUu	sVu	sWu	z_sWu	WD	d	N0	MaxFetch	et	Sonic_raw	SH	UST	sigW	sigU	sigV	WS	airT	Pair	kv	A	alpha	bw	C0	NH3_east	CH4_east	CO2_east	N2O_east	NH3_west	CH4_west	CO2_west	N2O_west	NH3_bg	CH4_bg	CO2_bg	N2O_bg	dNH3_east	dCH4_east	dCO2_east	dN2O_east	dNH3_west	dCH4_west	dCO2_west	dN2O_west	emis_NH3	emis_CH4	emis_N2O	emis_NH3_gap	emis_CH4_gap	emis_N2O_gap	cum_NH3_gN	cum_CH4_gCH4	cum_N2O_mgN
2022-11-24 10:30:00	4	CRDS_e	Plot_east	0.5	47.376953125	2.87759730368562	0.0369889890591783	2.80509933980672	2.95009526756452	-0.881446301868152	0.0303037104712695	-0.940841201891717	-0.822051401844586	0.167936959738128	0.03523519254916	0.0988764154608001	0.236997504015456	0.683876183509042	0.0176714142407936	0.649240428818142	0.718511938199941	55587	2.64360731825787	24.5	9.02	2.56651343409874	0.2762848	-3476.1	0.08818	3.095	3.294	1.744	1.947	141.831	0.053	100000	63	2022-11-24 11:00:00	Sonic	0.564643753010384	0.276284820045357	1.74446653448764	3.09479935507773	3.29407646938478	2.13741685625931	6.02897185164492	102175.162394356	0.4	0.5	0.02	1.743	9.39	1.87015990968618	1371.79826583182	777581.530476795	593.741476998807	0.210661774206605	1366.70720556686	777969.087050474	591.501461679325	0.668468318651755	1366.19182271784	777651.503896486	597.903172527634	0.106091591034427	5.60644311398551	-69.9734196912032	-4.16169552882718	0.0929934555548497	0.515382849018579	317.583153987536	-6.40171084830956	0.0368681159446965	1.94830705005345	-1.44623972350019	0.0368681159446965	1.94830705005345	-1.44623972350019	NaN	NaN	NaN
2022-11-24 11:00:00	5	CRDS_e	Plot_east	0.5	47.376953125	2.46900896627185	0.0349197778892924	2.40056663085072	2.53745130169299	-0.95532858201803	0.0313822611855903	-1.01683742818387	-0.893819735852187	0.270476015571861	0.0284744693024377	0.214666405753756	0.326285625389966	0.579170094831295	0.0156693267363341	0.548458407039019	0.60988178262357	44176	2.79829319087287	24.6	8.97	2.49859117082359	0.2606107	-1155.7	0.05832	3.448	3.403	1.693	1.947	139.158	0.053	100000	64	2022-11-24 11:30:00	Sonic	1.42519335286427	0.260610701536238	1.69348564661077	3.44790930737663	3.40348296344383	2.28549128610228	5.99106472910203	102210.056939253	0.4	0.5	0.02	1.69	8.67	1.86120830607968	1373.60924520996	778997.395102633	593.957912650451	1.00754252435555	1368.56736398891	781244.1830569	592.250259852173	0.639301744327023	1367.83192969206	778521.853916251	596.202563485598	0.126306561752657	5.77731551790725	475.541186382063	-2.24465083514679	0.919040780028525	0.735434296853555	2722.32914064918	-3.95230363342455	0.051156785365335	2.33993298397408	-0.909130289039071	0.051156785365335	2.33993298397408	-0.909130289039071	7.57306054863454e-05	0.00421187937115335	-0.52077902881127
2022-11-24 11:30:00	6	CRDS_e	Plot_east	0.5	47.376953125	1.82013312183086	0.0314459136165595	1.75849951768275	1.88176672597897	-0.980757144996367	0.0319218414454312	-1.04332356183885	-0.91819072815388	0.28765091702558	0.0262136209150436	0.236272542255903	0.339029291795256	0.481415909265228	0.0164695775517428	0.449135739711617	0.513696078818839	32842	2.59213202606419	16.7	8.93	2.79822260876529	0.2777831	-584.7	0.02507	3.566	3.35	1.6	1.947	126.763	0.053	100000	71	2022-11-24 12:00:00	Sonic	3.41147071108226	0.277783062393002	1.6000375563912	3.56644630538416	3.3498612914548	3.02248827970735	6.02073846368819	102156.541027701	0.4	0.5	0.02	1.595	7.495	1.81906385782504	1376.39756760918	779698.889893763	592.429385933766	33.6773364946359	1370.89679560542	778628.69360544	596.918988914873	0.588658015069909	1370.99911027873	777433.44681096	596.914173537848	0.134805842755131	5.39845733044444	2265.4430828027	-4.48478760408284	33.639478479566	-0.102314673311412	1195.2467944806	0.004815377025011	0.0740637270638374	2.96596840401111	-2.46398878757375	0.0740637270638374	2.96596840401111	-2.46398878757375	0.000185371796875993	0.00955062249837335	-1.93223094419165
2022-11-24 12:00:00	7	CRDS_e	Plot_east	0.5	47.376953125	2.22305864064893	0.0355984768453454	2.15328606361665	2.2928312176812	-1.02235177201786	0.0356730367581324	-1.0922704855627	-0.952433058473031	0.3095972726045	0.0318111891234437	0.247247732952945	0.371946812256055	0.567199970700124	0.0175016600693977	0.532896932098503	0.601503009301745	40706	2.6528939222719	15.8	8.77	2.89756552828561	0.2827982	-304.6	0.04104	3.384	3.178	1.629	1.947	129.172	0.053	100000	70	2022-11-24 12:30:00	Sonic	6.9172069764328	0.282798229474736	1.62900574265239	3.3839558368654	3.17848563880572	2.72857541313981	6.30540400685318	102180.706968288	0.4	0.5	0.02	1.619	7.778	1.89555985807398	1384.73486908587	776772.750002358	591.848022238031	40.0360100252419	1378.82339165065	776662.597247525	596.505489604362	0.619306049350558	1379.16750908462	775330.635585505	596.231007133617	0.18065380872342	5.56736000125602	1442.11441685341	-4.38298489558531	39.9675039758914	-0.344117433969132	1331.96166202007	0.274482470745738	0.0812636272476762	2.50436938524971	-1.97160111543701	0.0812636272476762	2.50436938524971	-1.97160111543701	0.000305671453149028	0.0140584873918228	-3.06162738657151
2022-11-24 12:30:00	8	CRDS_e	Plot_east	0.5	47.376953125	2.66049047894324	0.0361002529172346	2.58973442697801	2.73124653090848	-0.910211439359892	0.0288564627668137	-0.966769751672623	-0.853653127047161	0.165345915984573	0.0326026473002097	0.101445128035341	0.229246703933805	0.75560155432643	0.0206031880498671	0.715219559007778	0.795983549645081	54460	2.21807565185457	16.7	5.8	2.55949893180044	0.3107929	-2702.8	0.09327	2.768	2.941	1.643	1.947	150.462	0.053	100000	57	2022-11-24 13:00:00	Sonic	1.03529560791259	0.310792916423167	1.64252686690951	2.76843344644479	2.94119410520061	2.3607955121335	6.45495351925649	102236.216537359	0.4	0.5	0.02	1.642	8.058	1.96397708687773	1371.17228192972	775420.4998231	591.25339600241	24.583607605592	1366.15907855648	775570.367079164	595.142483958184	0.74861470868508	1365.61448888589	774705.942629066	594.964828613804	0.11976237819265	5.55779304383577	714.55719403422	-3.711432611394	24.3857928969069	0.544589670593496	864.424450098188	0.177655344379787	0.0450151500787254	2.08901068724867	-1.39501818960397	0.0450151500787254	2.08901068724867	-1.39501818960397	0.000372310209810047	0.0178187066288704	-3.86073861046869
2022-11-24 13:00:00	9	CRDS_e	Plot_east	0.5	47.376953125	3.32220711275037	0.0391669137946803	3.24544044316144	3.39897378233931	-1.09507266663871	0.0319664210817347	-1.15772645902037	-1.03241887425705	0.0907608242809083	0.0358910760729976	0.0204147563591288	0.161106892202688	0.715229066511388	0.0190657959826856	0.677860340746439	0.752597792276338	60731	2.7147881641995	24.5	7.01	2.41239649520241	0.3179334	1722.7	0.1326	2.722	2.874	1.416	1.947	147.799	0.053	100000	59	2022-11-24 13:30:00	Sonic	-1.73967122646969	0.317933447769677	1.41573856951118	2.72156702354717	2.87374077379419	2.13505406731433	6.58675449938917	102304.315918225	0.4	0.5	0.02	1.416	5.673	1.97039693675781	1371.86546761077	774068.420422211	592.208864062364	34.8294278988664	1366.96409447504	774844.60600533	596.832327805588	0.801023132671671	1366.30613689335	773582.764979986	596.043803352068	0.0737738040861424	5.55933071741924	485.655442225165	-3.83493928970472	34.5792047661947	0.657957581689971	1261.84102534421	0.788524453519926	0.0222062627591773	1.67338474957897	-1.15433480200151	0.0222062627591773	1.67338474957897	-1.15433480200151	0.000405183536629385	0.0208307991781126	-4.52197865973028
2022-11-24 13:30:00	10	CRDS_e	Plot_east	0.5	47.376953125	2.99755846551009	0.0363029447256002	2.92640514009199	3.06871179092819	-1.0593416316224	0.0330308313518269	-1.12408165504946	-0.994601608195331	0.158928787729998	0.029535401479934	0.101039763885221	0.216817811574775	0.680484632181591	0.0182833961097244	0.644649400550207	0.716319863812974	57945	2.56895159202692	22	9.25	2.60713723306328	0.3179628	2682	0.1074	2.875	2.68	1.509	1.947	141.775	0.053	100000	63	2022-11-24 14:00:00	Sonic	-1.11813302327977	0.317962828121546	1.5086727142874	2.87486752852244	2.67958430619972	2.30292506619853	6.68583557621746	102349.875913174	0.4	0.5	0.02	1.509	6.558	2.02342709550653	1371.17382298924	774092.424879551	592.654006705032	33.9209912788738	1366.3049109197	774554.879342107	594.662611465351	0.78921932300067	1365.58973986788	773519.187742808	595.549709956825	0.13860777250586	5.58408312136044	573.237136743381	-2.89570325179307	33.6825719558732	0.715171051820562	1035.69159929897	-0.887098491474603	0.0462402232018763	1.86287713337735	-0.966020608141936	0.0462402232018763	1.86287713337735	-0.966020608141936	0.000473635846052149	0.0241839780181918	-5.07534629051461
2022-11-24 14:00:00	11	CRDS_e	Plot_east	0.5	47.376953125	3.7358896916474	0.0411390556342306	3.65525764829496	3.81652173499983	-1.00663795361563	0.0303807144695389	-1.06618378052925	-0.947092126702009	0.00936387495122158	0.0315915372743568	-0.0525551497761338	0.071282899678577	0.782414338014905	0.0178645994989776	0.747399942592642	0.817428733437168	66355	2.64014015522568	21.8	6.66	2.32742056356508	0.2943451	2144	0.1488	2.448	2.682	1.485	1.947	150.127	0.053	100000	57	2022-11-24 14:30:00	Sonic	-1.10996588086357	0.294345057257984	1.48489868492757	2.44832093101296	2.6824624277534	1.89187503896341	6.77906877641542	102336.096266024	0.4	0.5	0.02	1.485	6.317	2.10519969365768	1370.09326647788	772962.632990954	590.702952193111	24.5355028474506	1365.14441685181	773326.111384467	595.424543968011	0.850452848915573	1364.57014626496	772473.916802319	595.613913715487	0.159146844742103	5.52312021292323	488.716188635561	-4.91096152237617	24.235849998535	0.5742705868538	852.194582148222	-0.189369747475894	0.0425994496298751	1.47839488549988	-1.31453600821137	0.0425994496298751	1.47839488549988	-1.31453600821137	0.000536698489469177	0.0268450888120916	-5.82835473600085
2022-11-24 14:30:00	12	CRDS_e	Plot_east	0.5	47.376953125	2.81925420860771	0.0527344633104785	2.71589530874323	2.9226131084722	-0.982772536276929	0.0335707369993447	-1.04857076813649	-0.916974304417372	0.125619647789349	0.0333760054755139	0.0602030873228154	0.191036208255882	0.712600267749721	0.0187362208500353	0.675877505193554	0.749323030305889	57068	2.17907759164506	18.1	7.04	2.5805017751781	0.3473886	634.4	0.117	2.578	2.672	1.468	1.947	154.206	0.053	100000	58	2022-11-24 15:00:00	Sonic	-6.16568126726461	0.347388628052275	1.46789433889931	2.57828611318182	2.67231840852676	2.44186244928862	6.75089807181783	102388.874528434	0.4	0.5	0.02	1.468	6.152	2.04287617559944	1371.13622600742	772062.701214884	592.663137075722	24.2902697626391	1366.10181022426	772842.510849334	595.964710700557	0.89096313336507	1365.59732125596	771815.285533167	594.913496188493	0.056313042234367	5.53890475146409	247.415681716986	-2.25035911277121	23.9501066292741	0.504488968299256	1027.22531616664	1.05121451206412	0.0199744464555316	1.96467020765732	-0.798210784221033	0.0199744464555316	1.96467020765732	-0.798210784221033	0.000566267918305044	0.0303814951858748	-6.28559550996371
2022-11-24 15:00:00	NaN	<undefined>	<undefined>	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaT	<undefined>	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.02269195663545	1368.20906891318	771188.034258585	593.210419460918	20.726833849549	1363.14185261914	771798.400544854	594.898058979916	0.87465823945408	1362.62315174475	771042.092925386	595.303759830391	0.05243371718137	5.58591716843148	145.941333198687	-2.09334036947223	20.4029756100949	0.518700874389651	756.30761946796	-0.405700850474659	NaN	NaN	NaN	0.0216452581298981	1.89218558488261	-0.698921192986625	0.000598310754702582	0.0337874292386635	-6.68596001710593
