st_date	st_time	rn	Sensor	Source	SensorHeight	SourceArea	CE	CE_se	CE_lo	CE_hi	uCE	uCE_se	uCE_lo	uCE_hi	vCE	vCE_se	vCE_lo	vCE_hi	wCE	wCE_se	wCE_lo	wCE_hi	N_TD	TD_Time_avg	TD_Time_max	Max_Dist	UCE	Ustar	L	Zo	sUu	sVu	sWu	z_sWu	WD	d	N0	MaxFetch	Sonic_raw	SH	UST	sigW	sigU	sigV	WS	airT	Pair	kv	A	alpha	bw	C0	NH3	CH4	CO2	N2O	NH3_bg	CH4_bg	CO2_bg	N2O_bg	dNH3	dCH4	dCO2	dN2O	FLAG	emis_NH3	emis_CH4	emis_N2O	emis_NH3_gap	emis_CH4_gap	emis_N2O_gap	cum_NH3_gN	cum_CH4_gCH4	cum_N2O_mgN
2022-11-16	09:30:00	2	NaN	Plot	1	2095.557617	2.953479703	0.038337443	2.878338785	3.028620621	-2.056472508	0.076043158	-2.205516163	-1.907428853	0.171307663	0.062515384	0.048778279	0.293837048	0.837213799	0.029213784	0.779955142	0.894472456	95769	5.120502459	21.9	41.98	11.46637887	0.5593964	355.8	0.03835	3.315	3.142	1.453	1.947	121.283	0.053	100000	93	Sonic	-44.54360116	0.559396448	1.452641979	3.314819698	3.142137489	5.491914449	8.063986691	101583.2793	0.4	0.5	0.02	1.453	6.009	123.763914	1363.635328	760463.6781	614.6588319	0.963269267	1314.333474	759759.2404	592.837063	122.8006447	49.30185387	704.4377173	21.82176885	1	41.5782931	16.69280267	7.388494606	41.5782931	16.69280267	7.388494606	0.061550961	0.030047045	4.232367012
2022-11-16	10:00:00	3	NaN	Plot	1	2095.557617	2.753882656	0.034142168	2.686964427	2.820800886	-1.984268488	0.067131713	-2.11584582	-1.852691155	0.297984209	0.061747156	0.176960543	0.419007876	0.887596187	0.028073612	0.832572253	0.942620122	96259	4.678386437	18.7	42.24	11.63243974	0.6169509	501.6	0.0409	3.195	3.028	1.419	1.947	122.152	0.053	100000	92	Sonic	-42.38824714	0.616950872	1.418786473	3.194767743	3.027936713	5.95792967	8.111359117	101666.5703	0.4	0.5	0.02	1.419	5.699	221.3977245	1313.196313	752405.0976	608.8933976	1.004100119	1313.327274	759352.6858	595.1365975	220.3936244	-0.130961064	-6947.588244	13.75680011	1	80.03014359	-0.047555063	4.995419859	80.03014359	-0.047555063	4.995419859	0.180024614	0.029961446	7.09390395
2022-11-16	10:30:00	4	NaN	Plot	1	2095.557617	2.570881965	0.030282361	2.511528909	2.63023502	-1.505546543	0.057570631	-1.618384272	-1.392708813	0.247456427	0.054180731	0.14126286	0.353649993	0.859404461	0.026540438	0.807385528	0.911423394	90562	4.528604713	16.9	41.85	11.83004893	0.5543946	402.7	0.02397	3.319	3.257	1.573	1.947	123.347	0.053	100000	92	Sonic	-38.31622754	0.554394622	1.572799678	3.319130458	3.257400177	6.094233037	8.096941143	101605.0085	0.4	0.5	0.02	1.573	7.245	199.1203049	1310.783707	751712.8864	604.6121443	1.025681856	1314.219371	759361.0051	594.6288263	198.094623	-3.43566428	-7648.118748	9.983318012	1	77.05317698	-1.336375737	3.883226904	77.05317698	-1.336375737	3.883226904	0.294091276	0.027555969	9.318341041
2022-11-16	11:00:00	5	NaN	Plot	1	2095.557617	2.605192566	0.05112499	2.504988214	2.705396919	-1.552200177	0.096926957	-1.742175821	-1.362224532	0.198774948	0.064324206	0.072700294	0.324849602	0.880058002	0.079239592	0.724749376	1.035366629	91303	4.542112526	17.6	42.56	12.69290688	0.5402477	357.9	0.01768	3.733	3.545	1.635	1.947	117.632	0.053	100000	93	Sonic	-39.88691557	0.540247749	1.634914474	3.732993736	3.544898655	6.349687581	8.091992488	101628.5355	0.4	0.5	0.02	1.635	7.972	202.7132281	1310.188527	751467.0134	602.2633209	1.029968086	1314.05081	759258.0945	594.2377475	201.6832601	-3.862282203	-7791.081068	8.025573408	1	77.41587422	-1.482532329	3.080606598	77.41587422	-1.482532329	3.080606598	0.408694862	0.024887411	11.08301144
2022-11-16	11:30:00	6	NaN	Plot	1	2095.557617	3.090990749	0.037192253	3.01809439	3.163887108	-1.794964923	0.063407912	-1.919243652	-1.670686194	0.154740557	0.05726629	0.042499332	0.266981783	0.749593601	0.025355544	0.699897046	0.799290156	89568	5.479421141	20.83881237	42.19	11.85686181	0.5001457	330.3	0.03105	3.268	3.088	1.482	1.947	121.192	0.053	100000	93	Sonic	-34.29272327	0.500145689	1.481682924	3.268113395	3.088016204	5.17426214	8.073319164	101683.351	0.4	0.5	0.02	1.482	6.288	195.7818099	1310.447978	751853.2395	604.8293699	1.039004554	1314.990778	760336.2777	594.3474181	194.7428053	-4.542800322	-8483.038228	10.48195179	1	63.00336078	-1.469690688	3.391130108	63.00336078	-1.469690688	3.391130108	0.501962698	0.022241968	13.02555968
2022-11-16	12:00:00	7	NaN	Plot	1	2095.557617	3.586228594	0.045943881	3.496179152	3.676278035	-2.046261908	0.074242957	-2.191777192	-1.900746624	0.21477996	0.059436235	0.098285671	0.331274249	0.852514725	0.033870955	0.786128069	0.918901382	96400	6.092628541	27.32129027	42.34	12.35746572	0.4804247	338.3	0.03578	3.208	2.947	1.398	1.947	119.12	0.053	100000	93	Sonic	-29.66785457	0.480424749	1.398345703	3.207507567	2.947262908	4.799975813	8.012716568	101686.2784	0.4	0.5	0.02	1.398	5.516	202.9501358	1309.400545	751595.9938	602.7414206	1.02840662	1314.768566	759544.9962	593.5072112	201.9217292	-5.368020622	-7949.002458	9.234209356	1	56.30475691	-1.496842848	2.574908184	56.30475691	-1.496842848	2.574908184	0.585314169	0.019547651	14.50054979
2022-11-16	12:30:00	8	NaN	Plot	1	2095.557617	3.310823758	0.05261892	3.207691322	3.413956193	-1.590738432	0.072747899	-1.733323419	-1.448153445	0.248443401	0.070744273	0.109785496	0.387101307	0.819883605	0.029869917	0.761338935	0.878428275	91445	5.823149862	22.25279854	42.17	12.5022439	0.4296579	217.7	0.01979	3.64	3.445	1.579	1.947	116.286	0.053	100000	93	Sonic	-32.98004297	0.429657916	1.578780762	3.640199385	3.444859521	4.928715644	8.040966412	101738.9728	0.4	0.5	0.02	1.579	7.312	186.2995188	1311.224919	750605.9403	601.8762547	1.01760027	1316.944248	758747.0318	594.0374656	185.2819185	-5.719328584	-8141.09145	7.838789006	1	55.96248308	-1.727463919	2.367624972	55.96248308	-1.727463919	2.367624972	0.668158951	0.016438216	15.85680142
2022-11-16	13:00:00	9	NaN	Plot	1	2095.557617	3.359534827	0.037745328	3.285554447	3.433515207	-2.007433428	0.062763321	-2.130448766	-1.88441809	0.159545187	0.056174087	0.049444666	0.269645707	0.863016816	0.027800706	0.808527774	0.917505859	96187	5.896455466	24.0693725	42.24	12.24629245	0.4971673	316.5	0.03341	3.375	3.051	1.428	1.947	116.107	0.053	100000	93	Sonic	-35.13867618	0.497167297	1.427730533	3.375335466	3.051223271	5.052415443	7.989283534	101736.2314	0.4	0.5	0.02	1.428	5.78	187.4945334	1311.435272	750453.1399	600.0194288	1.00579878	1317.726985	758885.0302	593.4872175	186.4887346	-6.29171296	-8431.890319	6.532211293	1	55.51028466	-1.872792897	1.944379692	55.51028466	-1.872792897	1.944379692	0.750334315	0.013067189	16.97060456
2022-11-16	13:30:00	10	NaN	Plot	1	2095.557617	3.369049759	0.043204902	3.284368682	3.453730837	-2.046188433	0.074248114	-2.191713825	-1.900663042	0.216519003	0.059403446	0.100088979	0.332949027	0.852187742	0.033863054	0.785816573	0.918558912	96252	5.723842621	25.7	42.34	12.33889678	0.5107324	331.8	0.03571	3.087	3.001	1.344	1.947	119.366	0.053	100000	93	Sonic	-36.33622993	0.510732388	1.343899172	3.086647747	3.000791464	5.105177394	7.936747569	101730.335	0.4	0.5	0.02	1.344	5.075	178.6992507	1311.03427	750898.742	599.4706483	0.980409094	1317.816788	759654.1588	593.5767057	177.7188416	-6.782518487	-8755.416765	5.893942601	1	52.75043538	-2.01318442	1.749437682	52.75043538	-2.01318442	1.749437682	0.828424101	0.009443457	17.97273865
2022-11-16	14:00:00	11	NaN	Plot	1	2095.557617	2.826800153	0.033972394	2.760214679	2.893385627	-1.79526	0.063453918	-1.919628898	-1.670891101	0.148782221	0.057358733	0.036359809	0.261204633	0.751270709	0.025452242	0.701384627	0.801156792	89855	5.011241445	19	42.18	11.89802136	0.5485496	333.9	0.02941	3.424	3.098	1.493	1.947	120.776	0.053	100000	93	Sonic	-44.73326874	0.548549628	1.492894041	3.423675458	3.09806528	5.749733591	7.933232027	101746.9962	0.4	0.5	0.02	1.493	6.396	146.6865189	1310.150536	750844.8132	599.3497048	0.953514414	1317.048721	759543.8272	593.0339418	145.7330044	-6.898184698	-8699.014059	6.315763002	1	51.55405284	-2.44028029	2.234244609	51.55405284	-2.44028029	2.234244609	0.904742806	0.005050952	19.25258572
