elapsed.time	tk	what	num
0	B	prec	0
1	B	prec	0
2	B	prec	0
3	B	prec	0
4	B	prec	0
5	B	prec	0
6	B	prec	0
7	B	prec	0
8	B	prec	0
9	B	prec	0
10	B	prec	0
11	B	prec	0
12	B	prec	0
13	B	prec	0
14	B	prec	0
15	B	prec	0
16	B	prec	0
17	B	prec	0
18	B	prec	0
19	B	prec	0
20	B	prec	0
21	B	prec	0
22	B	prec	0
23	B	prec	0
24	B	prec	0
25	B	prec	0
26	B	prec	0
27	B	prec	0
28	B	prec	0
29	B	prec	0
30	B	prec	0
31	B	prec	0
32	B	prec	0
33	B	prec	0
34	B	prec	0
35	B	prec	0
36	B	prec	0
37	B	prec	0
38	B	prec	0
39	B	prec	0
40	B	prec	0
41	B	prec	0
42	B	prec	0
43	B	prec	0
44	B	prec	0
45	B	prec	0.1
46	B	prec	0
47	B	prec	0
48	B	prec	0
49	B	prec	0
50	B	prec	0
51	B	prec	0
52	B	prec	0
53	B	prec	0
54	B	prec	0
55	B	prec	0
56	B	prec	0
57	B	prec	0
58	B	prec	0
59	B	prec	0
60	B	prec	0
61	B	prec	0
62	B	prec	0
63	B	prec	0
64	B	prec	0.3
65	B	prec	0
66	B	prec	0
67	B	prec	0
68	B	prec	0
69	B	prec	0
70	B	prec	0
71	B	prec	0
72	B	prec	0
73	B	prec	0
74	B	prec	0
75	B	prec	0
76	B	prec	0.1
77	B	prec	0.1
78	B	prec	0
79	B	prec	0
80	B	prec	0
81	B	prec	0
82	B	prec	0
83	B	prec	0
84	B	prec	0.1
85	B	prec	0.3
86	B	prec	0.3
87	B	prec	0
88	B	prec	0
89	B	prec	0
90	B	prec	0.1
91	B	prec	0.1
92	B	prec	0
93	B	prec	0
94	B	prec	0
95	B	prec	0
96	B	prec	0.4
97	B	prec	0
98	B	prec	0.1
99	B	prec	0
100	B	prec	0
101	B	prec	0
102	B	prec	0
103	B	prec	0
104	B	prec	0
105	B	prec	0
106	B	prec	0
107	B	prec	0
108	B	prec	0
109	B	prec	0.1
110	B	prec	0.1
111	B	prec	0.2
112	B	prec	0
113	B	prec	0.1
114	B	prec	0
115	B	prec	0.1
116	B	prec	0.1
117	B	prec	0.1
118	B	prec	0
119	B	prec	0
120	B	prec	0
1	C	prec	0.1
2	C	prec	0
3	C	prec	0
4	C	prec	0
5	C	prec	0
6	C	prec	0
7	C	prec	0
8	C	prec	0
9	C	prec	0
10	C	prec	0
11	C	prec	0
12	C	prec	0
13	C	prec	0
14	C	prec	0
15	C	prec	0
16	C	prec	0
17	C	prec	0
18	C	prec	0
19	C	prec	0
20	C	prec	0
21	C	prec	0
22	C	prec	0
23	C	prec	0
24	C	prec	0
25	C	prec	0.1
26	C	prec	1.1
27	C	prec	0.8
28	C	prec	0.7
29	C	prec	0.3
30	C	prec	0
31	C	prec	0
32	C	prec	0
33	C	prec	0.3
34	C	prec	0.2
35	C	prec	0
36	C	prec	0
37	C	prec	0
38	C	prec	0
39	C	prec	0
40	C	prec	0
41	C	prec	0
42	C	prec	0
43	C	prec	0
44	C	prec	0
45	C	prec	0
46	C	prec	0
47	C	prec	0
48	C	prec	0
49	C	prec	0
50	C	prec	0
51	C	prec	0
52	C	prec	0
53	C	prec	0
54	C	prec	0
55	C	prec	0
56	C	prec	0
57	C	prec	0
58	C	prec	0
59	C	prec	0
60	C	prec	0.1
61	C	prec	0
62	C	prec	0.2
63	C	prec	0
64	C	prec	0
65	C	prec	0
66	C	prec	0
67	C	prec	0
68	C	prec	0
69	C	prec	0
70	C	prec	0
71	C	prec	0
72	C	prec	0
73	C	prec	0
74	C	prec	0
75	C	prec	0
76	C	prec	0
77	C	prec	0
78	C	prec	0
79	C	prec	0
80	C	prec	0
81	C	prec	0
82	C	prec	0.1
83	C	prec	0.4
84	C	prec	0.4
85	C	prec	0.1
86	C	prec	0
87	C	prec	0.1
88	C	prec	0
89	C	prec	0.1
90	C	prec	0
91	C	prec	0
92	C	prec	0
93	C	prec	0.4
94	C	prec	0.3
95	C	prec	0.2
96	C	prec	0.3
97	C	prec	0.9
98	C	prec	0.3
99	C	prec	0.3
100	C	prec	0.4
101	C	prec	0.7
102	C	prec	0.2
103	C	prec	0.1
104	C	prec	0.1
105	C	prec	0
106	C	prec	0.1
107	C	prec	0
108	C	prec	0.2
109	C	prec	0.5
110	C	prec	0.4
111	C	prec	0.2
112	C	prec	0
113	C	prec	0
114	C	prec	0
115	C	prec	0
116	C	prec	0
117	C	prec	0
118	C	prec	0
119	C	prec	0.1
120	C	prec	0
