"","elapsed.time","NH3_30s.bg","DATE","TIME","FRAC_DAYS_SINCE_JAN1","FRAC_HRS_SINCE_JAN1","JULIAN_DAYS","EPOCH_TIME","ALARM_STATUS","INST_STATUS","CavityPressure","CavityTemp","DasTemp","EtalonTemp","WarmBoxTemp","species","MPVPosition","InletValve","OutletValve","solenoid_valves","NH3_Raw","NH3_30s","NH3_2min","NH3_5min","H2O","NH3_dry","NH3_uncorrected","NH3_broadeningCorrected","peak15","date.time","id","Vid","treat","NH3.corr","date.time.weather","date","time","temp","air.flow","A.frame","air.temp.K","n","flux","flux.tr","flux.time","cum.emis"
"1",0,16.1057696305,"2022-11-24","12:10:15.611",327.54879181,7861.171003,328.54879181,1669291815.612,0,963,139.96978288,44.999900818,28.857734807,44.982963562,45.002799988,4,10,50000,47767.219333,10,25.365756528,25.444343806,25.645945999,26.047733035,0.91715054701,25.365756528,24.583615318,25.133114353,57.216560778,2022-11-24 12:10:15,"10","V10","DFC",9.3385741755,"2022-11-24 12:00:00","2022-11-24","12:00:00",6.5,3000,0.38465,279.65,4.06956814366444e-10,4.44569505663835e-05,0,0,0
"2",1.33,10.392440727,"2022-11-24","13:30:11.960",327.6043051,7862.503322,328.6043051,1669296611.961,0,963,139.96494862,44.998649597,29.625,44.9792099,44.999137878,4,10,50000,47771.901383,10,26.748200673,26.641350726,26.702899845,26.723087097,0.91408363702,26.748200673,25.934382473,26.503699747,57.033097029,2022-11-24 13:30:11,"10","0","DFC",16.248909999,"2022-11-24 14:00:00","2022-11-24","14:00:00",6.9,3000,0.38465,280.05,7.07084361546309e-10,7.72436125844587e-05,6.08502815754211e-05,0.00486802252603369,0.00486802252603369
"3",2.67,9.1345021485,"2022-11-24","14:50:10.066",327.65983874,7863.83613,328.65983874,1669301410.067,0,963,139.99296317,44.999769896,28.8125,44.98028771,45.000133831,4,10,50000,47763.481947,10,27.540654753,27.715485765,27.739337015,27.523817242,0.90542939465,27.540654753,26.7149699,27.291293569,56.515134995,2022-11-24 14:50:10,"10","0","DFC",18.5809836165,"2022-11-24 15:00:00","2022-11-24","15:00:00",6.9,3000,0.38465,280.05,8.0856641695867e-10,8.83297587345509e-05,8.27866856595048e-05,0.00662293485276039,0.0114909573787941
"4",4,8.67891777165,"2022-11-24","16:10:06.969",327.71535844,7865.168603,328.71535844,1669306206.969,0,963,139.99714665,45.000450134,28.314226519,44.980552673,45.000053406,4,10,50000,47784.041307,10,28.599758408,28.706917169,28.416722457,27.861561526,0.90826620808,28.599758408,27.7454538,28.339996467,56.684962763,2022-11-24 16:10:06,"10","0","DFC",20.02799939735,"2022-11-24 16:00:00","2022-11-24","16:00:00",6.8,3000,0.38465,279.95,8.71845788079821e-10,9.52425508896214e-05,9.17861548120861e-05,0.00734289238496689,0.018833849763761
"5",5.33,8.5861233013,"2022-11-24","17:30:04.823",327.77088917,7866.50134,328.77088917,1669311004.824,0,963,140.00196969,44.999651282,28.5625,44.978087915,44.997825623,4,10,50000,47787.371655,10,29.534513992,29.464770002,29.359003947,28.826092495,0.91107541204,29.534513992,28.654525691,29.265432297,56.853096681,2022-11-24 17:30:04,"10","0","DFC",20.8786467007,"2022-11-24 18:00:00","2022-11-24","18:00:00",6.7,3000,0.38465,279.85,9.09200383289749e-10,9.93232575740896e-05,9.72829042318555e-05,0.00778263233854844,0.0266164821023094
"6",6.66,8.2529767221,"2022-11-24","18:50:03.115",327.82642495,7867.834199,328.82642495,1669315803.116,0,963,139.99450633,44.998344421,28.125,44.98033905,44.99962616,4,10,50000,47800.271128,10,27.944875206,27.869928271,27.797428973,27.658725615,0.89610421495,27.944875206,27.117741773,27.694460002,55.956583275,2022-11-24 18:50:03,"10","0","DFC",19.6169515489,"2022-11-24 19:00:00","2022-11-24","19:00:00",6.6,3000,0.38465,279.75,8.54562832668326e-10,9.33545188743177e-05,9.63388882242037e-05,0.00770711105793629,0.0343235931602457
"7",8,8.1221279072,"2022-11-24","20:10:00.124",327.88194588,7869.166701,328.88194588,1669320600.124,0,963,139.99344032,44.999084768,28.3125,44.979885502,44.999560909,4,10,50000,47807.727631,10,29.697393122,29.694614467,29.604495859,29.329533978,0.89946582615,29.697393122,28.824474337,29.43027522,56.157986134,2022-11-24 20:10:00,"10","0","DFC",21.5724865598,"2022-11-24 20:00:00","2022-11-24","20:00:00",6.5,3000,0.38465,279.65,9.40086810186856e-10,0.000102697365846179,9.80259423602483e-05,0.00784207538881986,0.0421656685490656
"8",9.33,8.1596317057,"2022-11-24","21:29:58.213",327.93747932,7870.499504,328.93747932,1669325398.213,0,963,139.98001815,44.998649597,28.375,44.980155945,44.999839783,4,10,50000,47817.881841,10,29.020009731,29.102389646,29.016076296,28.842044676,0.89888072939,29.020009731,28.164155801,28.759154456,56.122935677,2022-11-24 21:29:58,"10","0","DFC",20.9427579403,"2022-11-24 21:00:00","2022-11-24","21:00:00",6.5,3000,0.38465,279.65,9.1264446748111e-10,9.96994976940153e-05,0.000101198431770097,0.00809587454160777,0.0502615430906733
"9",10.7,8.1830133984,"2022-11-24","22:49:56.088",327.99301029,7871.832247,328.99301029,1669330196.089,0,963,139.99129254,44.999931335,28.1875,44.981285095,45.000846863,4,10,50000,47840.205758,10,29.431782009,29.493421814,29.402326321,29.016387077,0.90654154008,29.431782009,28.558629364,29.164970679,56.581719298,2022-11-24 22:49:56,"10","0","DFC",21.3104084156,"2022-11-24 23:00:00","2022-11-24","23:00:00",6.6,3000,0.38465,279.75,9.28333993972434e-10,0.000101413459664945,0.00010055647867948,0.00804451829435841,0.0583060613850317
"10",12,8.28842203665,"2022-11-25","00:09:53.683",328.048538,7873.164912,329.048538,1669334993.683,0,963,140.0054987,45.000450134,28.375,44.980064392,44.99962616,2,10,50000,47818.468848,10,29.063609255,29.329926377,29.222668365,28.960488297,0.90182306561,29.063609255,28.202227376,28.80097919,56.299179551,2022-11-25 00:09:53,"10","0","DFC",21.04150434035,"2022-11-25 00:00:00","2022-11-25","00:00:00",6.7,3000,0.38465,279.85,9.16292328975408e-10,0.000100097998941322,0.000100755729303134,0.00806045834425068,0.0663665197292824
"11",13.3,8.24504978175,"2022-11-25","01:29:51.967",328.1040737,7874.497769,329.1040737,1669339791.968,0,963,140.00919279,45.000053406,28.25,44.979057312,44.998832703,4,10,50000,47819.35085,10,28.391002575,28.419677957,28.394877164,28.214415771,0.87827844344,28.391002575,27.569447609,28.14165052,54.887614608,2022-11-25 01:29:51,"10","0","DFC",20.17462817525,"2022-11-25 01:00:00","2022-11-25","01:00:00",6.7,3000,0.38465,279.85,8.7854255750448e-10,9.59741222425426e-05,9.80360605919324e-05,0.00784288484735459,0.074209404576637
"12",14.7,8.00837574065,"2022-11-25","02:49:48.941",328.15959424,7875.830262,329.15959424,1669344588.942,0,963,140.00123208,44.999491107,27.5,44.978337873,44.997842989,4,10,50000,47791.772175,10,27.81637387,27.913054454,27.864627461,27.530285905,0.88449267794,27.81637387,27.002875045,27.57034008,55.260454862,2022-11-25 02:49:48,"10","0","DFC",19.90467871335,"2022-11-25 03:00:00","2022-11-25","03:00:00",6.4,3000,0.38465,279.55,8.67717290138042e-10,9.47915437497194e-05,9.5382832996131e-05,0.00763062663969048,0.0818400312163275
"13",16,7.9484094873,"2022-11-25","04:09:46.950",328.21512674,7877.163042,329.21512674,1669349386.95,0,963,140.03558135,44.998985291,26.9375,44.979820251,44.999320984,4,10,50000,47771.719937,10,30.574678863,30.522895573,30.336199387,29.635848219,0.89822913828,30.574678863,29.681580443,30.300048189,56.083899762,2022-11-25 04:09:46,"10","0","DFC",22.5744860857,"2022-11-25 04:00:00","2022-11-25","04:00:00",6.3,3000,0.38465,279.45,9.8445605452594e-10,0.000107544369834357,0.000101167956792038,0.00809343654336306,0.0899334677596905
"14",17.3,8.2292753362,"2022-11-25","05:29:44.954",328.2706592,7878.495821,329.2706592,1669354184.955,0,963,139.99035854,45.000027847,27.46640625,44.979235458,44.998661423,2,10,50000,47813.102246,10,30.367881481,30.13793038,30.111192021,29.911640128,0.88926215595,30.367881481,29.489078009,30.097996011,55.546476696,2022-11-25 05:29:44,"10","0","DFC",21.9086550438,"2022-11-25 05:00:00","2022-11-25","05:00:00",6.8,3000,0.38465,279.95,9.53713261293491e-10,0.000104185952452564,0.00010586516114346,0.00846921289147683,0.0984026806511674
"15",18.7,8.03481818245,"2022-11-25","06:49:43.904",328.32620259,7879.828862,329.32620259,1669358983.904,0,963,139.9300731,44.999443054,27.125,44.980125427,44.999382019,4,10,50000,47807.685666,10,29.349203153,29.288291802,29.136016248,28.668046448,0.87243039254,29.349203153,28.510367791,29.093151785,54.536560829,2022-11-25 06:49:43,"10","0","DFC",21.25347361955,"2022-11-25 07:00:00","2022-11-25","07:00:00",6.8,3000,0.38465,279.95,9.25192331477801e-10,0.000101070256825505,0.000102628104639034,0.00821024837112273,0.10661292902229
"16",20,7.8913889849,"2022-11-25","08:09:40.834",328.38172262,7881.161343,329.38172262,1669363780.834,0,963,139.98865842,45.000724792,28.098411602,44.982505798,45.001823425,4,10,50000,47838.77374,10,30.413242892,30.389197155,30.338660818,29.983489648,0.88182524853,30.413242892,29.540070696,30.145051237,55.100439649,2022-11-25 08:09:40,"10","0","DFC",22.4978081701,"2022-11-25 08:00:00","2022-11-25","08:00:00",6.9,3000,0.38465,280.05,9.79010181429124e-10,0.000106949449433693,0.000104009853129599,0.0083207882503679,0.114933717272658
"17",21.3,8.2304365724,"2022-11-25","09:29:38.538",328.4372516,7882.494038,329.4372516,1669368578.538,0,963,140.03345072,44.99974823,27.752417127,44.980979919,45.000511169,4,10,50000,47843.744259,10,31.518493426,31.541009881,31.441035886,31.129399622,0.87880317272,31.518493426,30.621933024,31.241507905,54.919104969,2022-11-25 09:29:38,"10","0","DFC",23.3105733086,"2022-11-25 09:00:00","2022-11-25","09:00:00",7.2,3000,0.38465,280.35,1.01329283177851e-09,0.000110694569402356,0.000108822009418024,0.00870576075344195,0.1236394780261
"18",22.7,8.38995480125,"2022-11-25","10:49:35.832",328.49277584,7883.82662,329.49277584,1669373375.833,0,963,139.99342945,44.999595642,27.8125,44.980552673,45.000236511,4,10,50000,47856.467229,10,31.389744385,31.153743623,31.100707873,30.690228192,0.86930456676,31.389744385,30.505767888,31.116871904,54.348846873,2022-11-25 10:49:35,"10","0","DFC",22.76378882175,"2022-11-25 11:00:00","2022-11-25","11:00:00",7.4,3000,0.38465,280.55,9.88819109832861e-10,0.000108021000590375,0.000109357784996366,0.00874862279970925,0.132388100825809
"19",24,8.2134257991,"2022-11-25","12:09:35.566",328.54832832,7885.15988,329.54832832,1669378175.567,0,963,140.01567533,45.000462442,27.625,44.979823792,44.998986639,4,10,50000,47856.820043,10,28.4403448,28.385566628,28.272636714,27.751851647,0.90426875317,28.4403448,27.593648936,28.183167648,56.445640405,2022-11-25 12:09:35,"10","0","DFC",20.1721408289,"2022-11-25 12:00:00","2022-11-25","12:00:00",7.3,3000,0.38465,280.45,8.7655490255391e-10,9.57569859893554e-05,0.000101888993289865,0.00815111946318922,0.140539220288998
