"","elapsed.time","NH3_30s.bg","DATE","TIME","FRAC_DAYS_SINCE_JAN1","FRAC_HRS_SINCE_JAN1","JULIAN_DAYS","EPOCH_TIME","ALARM_STATUS","INST_STATUS","CavityPressure","CavityTemp","DasTemp","EtalonTemp","WarmBoxTemp","species","MPVPosition","InletValve","OutletValve","solenoid_valves","NH3_Raw","NH3_30s","NH3_2min","NH3_5min","H2O","NH3_dry","NH3_uncorrected","NH3_broadeningCorrected","peak15","date.time","id","Vid","treat","NH3.corr","date.time.weather","date","time","temp","air.flow","A.frame","air.temp.K","n","flux","flux.tr","flux.time","cum.emis"
"20",25.3,7.8151661114,"2022-11-25","13:29:31.996",328.60384256,7886.492221,329.60384256,1669382971.997,0,963,139.98223632,44.9998703,27.481698895,44.9792099,44.998435974,4,10,50000,47858.097419,10,26.336839803,26.272446473,26.175256608,25.851395762,0.90055156889,26.336839803,25.544920506,26.099662979,56.223023292,2022-11-25 13:29:31,"10","0","DFC",18.4572803616,"2022-11-25 13:00:00","2022-11-25","13:00:00",7,3000,0.38465,280.15,8.02896672909801e-10,8.77103821274851e-05,9.17336840584202e-05,0.00733869472467362,0.147877915013672
"21",26.7,7.5156259056,"2022-11-25","14:49:30.601",328.65938196,7887.825167,329.65938196,1669387770.601,0,963,140.01368486,45.000484024,27.375,44.980113119,44.999400481,4,10,50000,47867.481591,10,23.508472042,23.371759211,23.410124137,23.301084437,0.89713271378,23.508472042,22.788297452,23.297569849,56.018209531,2022-11-25 14:49:30,"10","0","DFC",15.8561333054,"2022-11-25 15:00:00","2022-11-25","15:00:00",6.5,3000,0.38465,279.65,6.90979305498719e-10,7.54842571558214e-05,8.15973196416532e-05,0.00652778557133226,0.154405700585004
"22",28,7.3208938402,"2022-11-25","16:09:28.957",328.7149185,7889.158044,329.7149185,1669392568.958,0,963,139.99690151,45.000297546,27.45390625,44.981529236,45.001029968,2,10,50000,47891.745703,10,22.871901665,22.700056627,22.760701107,22.587653627,0.89784312969,22.871901665,22.166328111,22.666449694,56.060773487,2022-11-25 16:09:28,"10","0","DFC",15.3791627868,"2022-11-25 16:00:00","2022-11-25","16:00:00",6.4,3000,0.38465,279.55,6.70433602578253e-10,7.32397946800948e-05,7.43620259179581e-05,0.00594896207343665,0.160354662658441
"23",29.3,7.21585647905,"2022-11-25","17:29:26.426",328.77044475,7890.490674,329.77044475,1669397366.426,0,963,140.03056959,44.998924255,27.5,44.980644226,45.000144958,4,10,50000,47900.198614,10,23.207785223,23.275118254,23.157777363,22.9094207,0.89847637646,23.207785223,22.493873271,22.999268755,56.098711715,2022-11-25 17:29:26,"10","0","DFC",16.05926177495,"2022-11-25 17:00:00","2022-11-25","17:00:00",6.4,3000,0.38465,279.55,7.00081589341654e-10,7.64786127448206e-05,7.48592037124577e-05,0.00598873629699662,0.166343398955438
"24",30.7,7.2484246114,"2022-11-25","18:49:23.641",328.82596808,7891.823234,329.82596808,1669402163.642,0,963,140.02183693,45.001335144,27.75,44.980949149,45.000297125,4,10,50000,47908.961153,10,23.377609226,23.270832816,23.170420172,22.927113496,0.89969572376,23.377609226,22.658602602,23.167281875,56.171757758,2022-11-25 18:49:23,"10","0","DFC",16.0224082046,"2022-11-25 19:00:00","2022-11-25","19:00:00",6.5,3000,0.38465,279.65,6.98225240693521e-10,7.62758207109472e-05,7.63772167278839e-05,0.00611017733823071,0.172453576293668
"25",32,7.10215849095,"2022-11-25","20:09:20.806",328.88149082,7893.15578,329.88149082,1669406960.807,0,963,139.9985822,44.999384717,28.9375,44.982460949,45.001786669,4,10,50000,47929.982573,10,22.052348748,22.197755692,22.105311791,21.927275987,0.91117187189,22.052348748,21.357053263,21.851413949,56.858869184,2022-11-25 20:09:20,"10","0","DFC",15.09559720105,"2022-11-25 20:00:00","2022-11-25","20:00:00",6.5,3000,0.38465,279.65,6.5783662820983e-10,7.18636706123486e-05,7.40697456616479e-05,0.00592557965293183,0.1783791559466
"26",33.3,6.960555374,"2022-11-25","21:29:20.125",328.9370385,7894.488924,329.9370385,1669411760.126,0,963,140.02336517,45.000345936,28.544716851,44.981075687,45.000611405,4,10,50000,47945.87814,10,22.584192726,22.645209744,22.629730612,22.518469897,0.91523893638,22.584192726,21.872653874,22.377493401,57.102213184,2022-11-25 21:29:20,"10","0","DFC",15.68465437,"2022-11-25 21:00:00","2022-11-25","21:00:00",6.5,3000,0.38465,279.65,6.83506588575356e-10,7.46679194140006e-05,7.32657950131746e-05,0.00586126360105397,0.184240419547654
"27",34.7,7.0095949763,"2022-11-25","22:49:17.183",328.99255999,7895.82144,329.99255999,1669416557.183,0,963,139.96986385,45.00063324,29,44.981681824,45.001457214,4,10,50000,47976.124698,10,23.252960522,23.007510838,22.96997634,22.756439207,0.92545971123,23.252960522,22.516839023,23.03776374,57.713374594,2022-11-25 22:49:17,"10","0","DFC",15.9979158617,"2022-11-25 23:00:00","2022-11-25","23:00:00",6.6,3000,0.38465,279.75,6.9690870477429e-10,7.61319991303422e-05,7.53999592721714e-05,0.00603199674177371,0.190272416289428
"28",36,7.16993959705,"2022-11-26","00:09:16.108",329.0481031,7897.154474,330.0481031,1669421356.108,0,963,140.02744205,45.000785828,30.125,44.98033905,45.000297546,4,10,50000,47995.889805,10,21.94174594,21.78108363,21.662033731,21.635967601,0.92206204901,21.94174594,21.241046934,21.739429428,57.510267716,2022-11-26 00:09:16,"10","0","DFC",14.61114403295,"2022-11-26 00:00:00","2022-11-26","00:00:00",6.6,3000,0.38465,279.75,6.36497500755809e-10,6.95325325139976e-05,7.28322658221699e-05,0.00582658126577359,0.196098997555201
"29",37.3,7.08207653955,"2022-11-26","01:29:13.250",329.10362559,7898.487014,330.10362559,1669426153.251,0,963,140.00871458,44.999809265,30.3125,44.980674744,45.000907898,4,10,50000,48004.665865,10,22.047932268,22.147892899,22.136733381,21.972251001,0.91187588417,22.047932268,21.352217849,21.846882491,56.900998347,2022-11-26 01:29:13,"10","0","DFC",15.06581635945,"2022-11-26 01:00:00","2022-11-26","01:00:00",6.6,3000,0.38465,279.75,6.56304149627893e-10,7.16962589309217e-05,7.06143957224597e-05,0.00564915165779677,0.201748149212998
"30",38.6,6.9078582536,"2022-11-26","02:49:10.855",329.15915341,7899.819682,330.15915341,1669430950.855,0,963,139.98091623,45.000450134,30.055593923,44.980644226,45.000450134,4,10,50000,47999.812457,10,21.041462975,21.082612424,21.051979811,21.005951015,0.88983860156,21.041462975,20.386563257,20.854227915,55.581037678,2022-11-26 02:49:10,"10","0","DFC",14.1747541704,"2022-11-26 03:00:00","2022-11-26","03:00:00",5.9,3000,0.38465,279.05,6.19036254791654e-10,6.76250236057996e-05,6.96606412683606e-05,0.00557285130146885,0.207321000514467
"31",40,6.6693883043,"2022-11-26","04:09:07.586",329.21467115,7901.152107,330.21467115,1669435747.587,0,963,139.98569151,44.999473572,29.8125,44.978691101,44.998649597,4,10,50000,48007.728354,10,20.367452064,20.433833385,20.535514779,20.598626729,0.854784033,20.367452064,19.753559534,20.193354336,53.47618149,2022-11-26 04:09:07,"10","0","DFC",13.7644450807,"2022-11-26 04:00:00","2022-11-26","04:00:00",5.6,3000,0.38465,278.75,6.01764283133327e-10,6.57381914823624e-05,6.6681607544081e-05,0.00533452860352648,0.212655529117994
"32",41.3,6.2898012011,"2022-11-26","05:29:06.361",329.27021252,7902.485101,330.27021252,1669440546.362,0,963,139.99443349,45.000297546,29.0625,44.978569031,44.998222351,4,10,50000,48032.284984,10,19.516886324,19.823515501,19.736612512,19.639632787,0.82761217376,19.516886324,18.941296409,19.355362197,51.840215637,2022-11-26 05:29:06,"10","0","DFC",13.5337142999,"2022-11-26 05:00:00","2022-11-26","05:00:00",5.2,3000,0.38465,278.35,5.92527286022443e-10,6.47291194888643e-05,6.52336554856134e-05,0.00521869243884907,0.217874221556843
"33",42.6,6.08117236575,"2022-11-26","06:49:04.301",329.32574422,7903.817861,330.32574422,1669445344.301,0,963,140.01573615,45.000182473,29.333736188,44.978953451,44.998870723,4,10,50000,48045.298418,10,19.31551342,19.198355145,19.15950827,19.123347735,0.79914704771,19.31551342,18.763779972,19.161154065,50.122204156,2022-11-26 06:49:04,"10","0","DFC",13.11718277925,"2022-11-26 07:00:00","2022-11-26","07:00:00",4.5,3000,0.38465,277.65,5.75738760337633e-10,6.28951001774688e-05,6.38121098331665e-05,0.00510496878665332,0.222979190343496
"34",44,5.7609116255,"2022-11-26","08:09:00.875",329.38126013,7905.150243,330.38126013,1669450140.875,0,963,140.00638601,44.999900818,28.518473757,44.979667664,44.999015808,4,10,50000,48044.227544,10,19.045324427,19.142880996,19.082466719,18.988543419,0.80395140011,19.045324427,18.496220815,18.892209275,50.412472046,2022-11-26 08:09:00,"10","0","DFC",13.3819693705,"2022-11-26 08:00:00","2022-11-26","08:00:00",4.2,3000,0.38465,277.35,5.8799608878675e-10,6.42341205002681e-05,6.35646103388684e-05,0.00508516882710947,0.228064359170605
"35",45.3,6.0891137735,"2022-11-26","09:28:59.023",329.43679425,7906.483062,330.43679425,1669454939.023,0,963,140.02224883,45.001274615,29.125,44.980979919,45.001009736,4,10,50000,48060.587254,10,20.469504137,20.548342339,20.587537952,20.578728082,0.80020686766,20.469504137,19.891990093,20.305705759,50.18624658,2022-11-26 09:28:59,"10","0","DFC",14.4592285655,"2022-11-26 09:00:00","2022-11-26","09:00:00",4.2,3000,0.38465,277.35,6.35330242358042e-10,6.94050183723103e-05,6.68195694362892e-05,0.00534556555490314,0.233409924725509
"36",46.6,7.65421125295,"2022-11-26","10:48:56.368",329.49231907,7907.815658,330.49231907,1669459736.368,0,963,140.00950901,45.000602722,31.9375,44.98134613,45.001457214,4,10,50000,48143.326474,10,28.373085561,28.388782624,28.588799076,28.936228185,0.92331883847,28.373085561,27.510520039,28.111111517,57.585403529,2022-11-26 10:48:56,"10","0","DFC",20.73457137105,"2022-11-26 11:00:00","2022-11-26","11:00:00",6,3000,0.38465,279.15,9.05190538322724e-10,9.88852123732606e-05,8.41451153727855e-05,0.00673160922982284,0.240141533955331
"37",48,10.25902337035,"2022-11-26","12:08:55.562",329.54786531,7909.148767,330.54786531,1669464535.563,0,963,139.99946582,45.000381259,33.125,44.979556553,45.000231032,4,10,50000,48140.846361,10,29.576215592,29.461659428,29.332025794,29.790728598,1.0033795019,29.576215592,28.607466181,29.279453907,62.355097509,2022-11-26 12:08:55,"10","0","DFC",19.20263605765,"2022-11-26 12:00:00","2022-11-26","12:00:00",7.3,3000,0.38465,280.45,8.34426297191852e-10,9.11547548437055e-05,9.50199836084831e-05,0.00760159868867865,0.24774313264401
"38",49.3,9.61315736315,"2022-11-26","13:28:52.078",329.60338053,7910.481133,330.60338053,1669469332.078,0,963,139.99049963,44.9998703,32.1875,44.978172302,44.99886322,4,10,50000,48137.992759,10,24.358987556,24.429543302,24.465803212,24.443791642,0.98305393713,24.358987556,23.548432608,24.11952557,61.14727014,2022-11-26 13:28:52,"10","0","DFC",14.81638593885,"2022-11-26 13:00:00","2022-11-26","13:00:00",7.8,3000,0.38465,280.95,6.42681533933993e-10,7.02080913143372e-05,8.06814230790213e-05,0.00645451384632171,0.254197646490332
"39",50.6,8.1410556372,"2022-11-26","14:48:50.125",329.65891348,7911.813924,330.65891348,1669474130.125,0,963,140.02535172,44.999299622,31.375,44.977888489,44.99839325,2,10,50000,48151.236914,10,21.717590889,21.902107008,21.913203633,22.052954844,0.95678861176,21.717590889,20.997670002,21.510059897,59.58337425,2022-11-26 14:48:50,"10","0","DFC",13.7610513708,"2022-11-26 15:00:00","2022-11-26","15:00:00",7.3,3000,0.38465,280.45,5.97969107279364e-10,6.53235972566999e-05,6.77658442855185e-05,0.00542126754284148,0.259618914033173
"40",52,7.4859823705,"2022-11-26","16:08:47.326",329.71443666,7913.14648,330.71443666,1669478927.327,0,963,140.0459988,45.000846863,30.5,44.979850769,45.000083923,4,10,50000,48167.439863,10,22.494165623,22.480681471,22.382734215,22.181797237,0.97890680232,22.494165623,21.736410208,22.273968706,60.900573655,2022-11-26 16:08:47,"10","0","DFC",14.9946991005,"2022-11-26 16:00:00","2022-11-26","16:00:00",7.1,3000,0.38465,280.25,6.52040707338866e-10,7.12305101428569e-05,6.82770536997784e-05,0.00546216429598227,0.265081078329155
"41",53.3,7.3752719693,"2022-11-26","17:28:46.957",329.76998793,7914.47971,330.76998793,1669483726.957,0,963,140.01177414,44.999900818,29.106526243,44.979240417,44.998832703,4,10,50000,48126.931705,10,22.033975335,21.975261955,21.941543252,21.735705037,0.93167512854,22.033975335,21.323769527,21.828690267,58.084768724,2022-11-26 17:28:46,"10","0","DFC",14.5999899857,"2022-11-26 17:00:00","2022-11-26","17:00:00",7,3000,0.38465,280.15,6.35103501403323e-10,6.93802486398486e-05,7.03053793913527e-05,0.00562443035130822,0.270705508680464
"42",54.6,7.29061136615,"2022-11-26","18:48:43.865",329.82550771,7915.812185,330.82550771,1669488523.866,0,963,139.98037804,45.000419617,29.5,44.980857849,45.001121521,4,10,50000,48085.921152,10,24.022586721,23.65929726,23.491155403,23.324009886,0.92617861926,24.022586721,23.266586142,23.800094659,57.756342163,2022-11-26 18:48:43,"10","0","DFC",16.36868589385,"2022-11-26 19:00:00","2022-11-26","19:00:00",6.5,3000,0.38465,279.65,7.13315345741149e-10,7.79243004278634e-05,7.3652274533856e-05,0.00589218196270848,0.276597690643172
"43",56,7.68514032105,"2022-11-26","20:08:42.674",329.88104947,7917.145187,330.88104947,1669493322.674,0,963,140.02273294,45.002159119,29.375,44.981773376,45.002037048,4,10,50000,48133.360886,10,24.81032411,24.912685179,24.834567422,24.813269839,0.95242619797,24.81032411,24.012942881,24.574024084,59.323286058,2022-11-26 20:08:42,"10","0","DFC",17.22754485795,"2022-11-26 20:00:00","2022-11-26","20:00:00",6.5,3000,0.38465,279.65,7.50742741128463e-10,8.20129599804813e-05,7.99686302041723e-05,0.00639749041633379,0.282995181059506
"44",57.3,8.35696243015,"2022-11-26","21:28:40.355",329.93657819,7918.477877,330.93657819,1669498120.356,0,963,139.97923692,44.999000465,29.4375,44.980583022,45.000612838,4,10,50000,48104.192701,10,24.623216851,24.729627161,24.685117306,24.788911926,0.96412188565,24.623216851,23.821099799,24.385819029,60.020367012,2022-11-26 21:28:40,"10","0","DFC",16.37266473085,"2022-11-26 21:00:00","2022-11-26","21:00:00",7,3000,0.38465,280.15,7.12215330835857e-10,7.78041321285735e-05,7.99085460545274e-05,0.00639268368436219,0.289387864743868
"45",58.6,8.353574047,"2022-11-26","22:48:37.529",329.99210104,7919.810425,330.99210104,1669502917.53,0,963,140.01817242,44.999900818,29.8125,44.979393005,44.999595642,4,10,50000,48152.329172,10,25.967774162,25.960901573,25.906281712,25.956437209,0.96421965038,25.967774162,25.130459031,25.71738778,60.026190999,2022-11-26 22:48:37,"10","0","DFC",17.607327526,"2022-11-26 23:00:00","2022-11-26","23:00:00",7.4,3000,0.38465,280.55,7.64831464003034e-10,8.35520462772752e-05,8.06780892029243e-05,0.00645424713623395,0.295842111880102
"46",60,8.02728361855,"2022-11-27","00:08:35.766",330.04763618,7921.143268,331.04763618,1669507715.766,0,963,140.03376365,44.9997253,29.1875,44.977622986,44.997710802,4,10,50000,48135.868838,10,23.180713132,22.993358452,22.998167227,22.929487529,0.95598270155,23.180713132,22.422609202,22.959109525,59.535333002,2022-11-27 00:08:35,"10","0","DFC",14.96607483345,"2022-11-27 00:00:00","2022-11-27","00:00:00",7.3,3000,0.38465,280.45,6.50331879918997e-10,7.10438336861673e-05,7.72979399817212e-05,0.0061838351985377,0.30202594707864
"47",61.3,7.6019196745,"2022-11-27","01:28:33.813",330.10316914,7922.476059,331.10316914,1669512513.814,0,963,139.98422241,44.998893738,28.625,44.981376648,45.001121521,2,10,50000,48073.182495,10,22.792111967,22.901961757,22.986069981,22.887933458,0.94303227017,22.792111967,22.053528266,22.577026434,58.762887423,2022-11-27 01:28:33,"10","0","DFC",15.3000420825,"2022-11-27 01:00:00","2022-11-27","01:00:00",7.2,3000,0.38465,280.35,6.65081152782593e-10,7.26550800676975e-05,7.18494568769324e-05,0.00574795655015459,0.307773903628794
"48",62.6,7.59556405855,"2022-11-27","02:48:31.096",330.15869325,7923.808638,331.15869325,1669517311.097,0,963,139.95527109,45.000419617,29.0625,44.981590271,45.001548767,4,10,50000,48106.4416,10,24.521413769,24.416486384,24.309122255,24.322709682,0.92481339489,24.521413769,23.754006997,24.29463645,57.674743401,2022-11-27 02:48:31,"10","0","DFC",16.82092232545,"2022-11-27 03:00:00","2022-11-27","03:00:00",6.7,3000,0.38465,279.85,7.32499057281978e-10,8.00199756581163e-05,7.63375278629069e-05,0.00610700222903255,0.313880905857827
