st_date	st_time	WS	airT	Pair	emis_NH3	emis_CH4	emis_N2O	emis_NH3_gap	emis_CH4_gap	emis_N2O_gap	cum_NH3_gN	cum_CH4_gCH4	cum_N2O_mgN
2022-11-24	10:30:00	2.137416856	6.028971852	102175.1624	0.220441576	0.176692012	-2.194739646	0.220441576	0.176692012	-2.194739646	NaN	NaN	NaN
2022-11-24	11:00:00	2.285491286	5.991064729	102210.0569	0.583730352	0.292228321	-1.570466677	0.583730352	0.292228321	-1.570466677	NaN	NaN	NaN
2022-11-24	11:30:00	3.02248828	6.020738464	102156.541	18.35075595	-0.054916064	0.002584591	18.35075595	-0.054916064	0.002584591	NaN	NaN	NaN
2022-11-24	12:00:00	2.728575413	6.305404007	102180.707	17.79238242	-0.151111702	0.120533019	17.79238242	-0.151111702	0.120533019	0.026339182	-0.000272001	0.069045185
2022-11-24	12:30:00	2.360795512	6.454953519	102236.2165	9.250384725	0.202025417	0.065904473	9.250384725	0.202025417	0.065904473	0.040033108	9.16E-05	0.106797383
2022-11-24	13:00:00	2.135054067	6.586754499	102304.3159	10.46070207	0.19592525	0.234805184	10.46070207	0.19592525	0.234805184	0.055518743	0.00044431	0.241301334
2022-11-24	13:30:00	2.302925066	6.685835576	102349.8759	11.25615137	0.235158306	-0.291690467	11.25615137	0.235158306	-0.291690467	0.072181932	0.000867595	0.074211666
2022-11-24	14:00:00	1.891875039	6.779068776	102336.0963	6.569226984	0.152204336	-0.050190446	6.569226984	0.152204336	-0.050190446	0.081906771	0.001141563	0.045460967
2022-11-24	14:30:00	2.441862449	6.750898072	102388.8745	8.608720965	0.177264729	0.369370327	8.608720965	0.177264729	0.369370327	0.094650802	0.001460639	0.257048154
2022-11-24	15:00:00	NaN	NaN	NaN	NaN	NaN	NaN	8.269377402	0.143209223	0.339870633	0.106892482	0.001718416	0.451736969
2022-11-24	15:30:00	2.082182543	6.72432249	102397.1668	7.930033839	0.109153717	0.310370939	7.930033839	0.109153717	0.310370939	0.118631809	0.001914893	0.629527411
2022-11-24	16:00:00	1.901087647	6.680300615	102408.3194	6.544135742	0.214248831	-0.110996589	6.544135742	0.214248831	-0.110996589	0.128319505	0.002300541	0.565945
2022-11-24	16:30:00	2.227153216	6.688611907	102424.9808	7.296183653	0.260160396	0.305684386	7.296183653	0.260160396	0.305684386	0.139120504	0.002768829	0.741050834
2022-11-24	17:00:00	NaN	NaN	NaN	NaN	NaN	NaN	6.230068048	0.195464099	0.306355192	0.148343265	0.003120665	0.916540927
2022-11-24	17:30:00	1.923945222	6.681236807	102441.6579	5.163952444	0.130767801	0.307025998	5.163952444	0.130767801	0.307025998	0.155987789	0.003356047	1.09241528
2022-11-24	18:00:00	2.179253337	6.643602209	102449.9598	5.772815954	0.060498212	-0.333999417	5.772815954	0.060498212	-0.333999417	0.164533651	0.003464944	0.901089687
2022-11-24	18:30:00	2.283873057	6.524686561	102491.5857	6.163027881	0.03797528	-0.156207253	6.163027881	0.03797528	-0.156207253	0.173657169	0.003533299	0.811609155
