"","tk","id","cum.emis.perc","app.meth"
"52","A","3",57.6520961439003,"Trailing hose"
"78","A","5",56.9654191722312,"Trailing hose"
"104","A","6",49.3466097566391,"Trailing hose"
"156","A","9",57.6316190431175,"Trailing hose"
"182","A","10",53.7909732747056,"Trailing hose"
"208","A","12",53.8953406566249,"Trailing hose"
"260","A","15",54.2498847343114,"Trailing hose"
"286","A","16",54.1211527844564,"Trailing hose"
"312","A","17",53.7389576182608,"Trailing hose"
"381","B","1",49.9944436884827,"Trailing hose"
"450","B","3",68.7899439641139,"Trailing hose"
"518","B","4",59.0914730100694,"Trailing hose"
"587","B","5",88.7882745667961,"Trailing hose"
"656","B","7",61.3509607738732,"Trailing hose"
"725","B","8",61.0085655061238,"Trailing hose"
"794","B","9",70.1316569504242,"Trailing hose"
"863","B","10",53.050705949913,"Trailing hose"
"932","B","12",50.8923433585751,"Trailing hose"
"1022","C","10",7.39128939861602,"Injection"
"1112","C","2",5.75945787721126,"Injection"
"1202","C","3",3.03118606547399,"Injection"
"1292","C","4",2.56342221494875,"Injection"
"1382","C","5",8.31804277612872,"Injection"
"1472","C","6",1.47378493122596,"Injection"
"1562","C","8",4.14350102306982,"Injection"
"1652","C","1",38.0504207499745,"Trailing hose"
"1742","C","3",35.6386126267158,"Trailing hose"
"1832","C","4",44.4706466309862,"Trailing hose"
"1922","C","5",44.1209367939322,"Trailing hose"
"2012","C","6",52.3828738822264,"Trailing hose"
"2102","C","8",42.1503992131916,"Trailing hose"
