dummy	st_date	st_time	rn	Sensor	Source	SensorHeight	SourceArea	CE	CE_se	CE_lo	CE_hi	uCE	uCE_se	uCE_lo	uCE_hi	vCE	vCE_se	vCE_lo	vCE_hi	wCE	wCE_se	wCE_lo	wCE_hi	N_TD	TD_Time_avg	TD_Time_max	Max_Dist	UCE	Ustar	L	Zo	sUu	sVu	sWu	z_sWu	WD	d	N0	MaxFetch	et	Sonic_raw	SH	UST	sigW	sigU	sigV	WS	airT	Pair	kv	A	alpha	bw	C0	NH3_east	CH4_east	CO2_east	N2O_east	NH3_west	CH4_west	CO2_west	N2O_west	NH3_bg	CH4_bg	CO2_bg	N2O_bg	dNH3_east	dCH4_east	dCO2_east	dN2O_east	dNH3_west	dCH4_west	dCO2_west	dN2O_west	emis_NH3	emis_CH4	emis_N2O	emis_NH3_gap	emis_CH4_gap	emis_N2O_gap	cum_NH3_gN	cum_CH4_gCH4	cum_N2O_mgN
1	2022-11-24	10:30:00	4	CRDS_e	Plot_east	0.5	47.37695313	2.877597304	0.036988989	2.80509934	2.950095268	-0.881446302	0.03030371	-0.940841202	-0.822051402	0.16793696	0.035235193	0.098876415	0.236997504	0.683876184	0.017671414	0.649240429	0.718511938	55587	2.643607318	24.5	9.02	2.566513434	0.2762848	-3476.1	0.08818	3.095	3.294	1.744	1.947	141.831	0.053	100000	63	24-11-2022 11:00	Sonic	0.564643753	0.27628482	1.744466534	3.094799355	3.294076469	2.137416856	6.028971852	102175.1624	0.4	0.5	0.02	1.743	9.39	1.87015991	1371.798266	777581.5305	593.741477	0.210661774	1366.707206	777969.0871	591.5014617	0.668468319	1366.191823	777651.5039	597.9031725	0.106091591	5.606443114	-69.97341969	-4.161695529	0.092993456	0.515382849	317.583154	-6.401710848	0.036868116	1.94830705	-1.446239724	0.036868116	1.94830705	-1.446239724	NaN	NaN	NaN
2	2022-11-24	11:00:00	5	CRDS_e	Plot_east	0.5	47.37695313	2.469008966	0.034919778	2.400566631	2.537451302	-0.955328582	0.031382261	-1.016837428	-0.893819736	0.270476016	0.028474469	0.214666406	0.326285625	0.579170095	0.015669327	0.548458407	0.609881783	44176	2.798293191	24.6	8.97	2.498591171	0.2606107	-1155.7	0.05832	3.448	3.403	1.693	1.947	139.158	0.053	100000	64	24-11-2022 11:30	Sonic	1.425193353	0.260610702	1.693485647	3.447909307	3.403482963	2.285491286	5.991064729	102210.0569	0.4	0.5	0.02	1.69	8.67	1.861208306	1373.609245	778997.3951	593.9579127	1.007542524	1368.567364	781244.1831	592.2502599	0.639301744	1367.83193	778521.8539	596.2025635	0.126306562	5.777315518	475.5411864	-2.244650835	0.91904078	0.735434297	2722.329141	-3.952303633	0.051156785	2.339932984	-0.909130289	0.051156785	2.339932984	-0.909130289	7.57E-05	0.004211879	-0.520779029
3	2022-11-24	11:30:00	6	CRDS_e	Plot_east	0.5	47.37695313	1.820133122	0.031445914	1.758499518	1.881766726	-0.980757145	0.031921841	-1.043323562	-0.918190728	0.287650917	0.026213621	0.236272542	0.339029292	0.481415909	0.016469578	0.44913574	0.513696079	32842	2.592132026	16.7	8.93	2.798222609	0.2777831	-584.7	0.02507	3.566	3.35	1.6	1.947	126.763	0.053	100000	71	24-11-2022 12:00	Sonic	3.411470711	0.277783062	1.600037556	3.566446305	3.349861291	3.02248828	6.020738464	102156.541	0.4	0.5	0.02	1.595	7.495	1.819063858	1376.397568	779698.8899	592.4293859	33.67733649	1370.896796	778628.6936	596.9189889	0.588658015	1370.99911	777433.4468	596.9141735	0.134805843	5.39845733	2265.443083	-4.484787604	33.63947848	-0.102314673	1195.246794	0.004815377	0.074063727	2.965968404	-2.463988788	0.074063727	2.965968404	-2.463988788	0.000185372	0.009550622	-1.932230944
4	2022-11-24	12:00:00	7	CRDS_e	Plot_east	0.5	47.37695313	2.223058641	0.035598477	2.153286064	2.292831218	-1.022351772	0.035673037	-1.092270486	-0.952433058	0.309597273	0.031811189	0.247247733	0.371946812	0.567199971	0.01750166	0.532896932	0.601503009	40706	2.652893922	15.8	8.77	2.897565528	0.2827982	-304.6	0.04104	3.384	3.178	1.629	1.947	129.172	0.053	100000	70	24-11-2022 12:30	Sonic	6.917206976	0.282798229	1.629005743	3.383955837	3.178485639	2.728575413	6.305404007	102180.707	0.4	0.5	0.02	1.619	7.778	1.895559858	1384.734869	776772.75	591.8480222	40.03601003	1378.823392	776662.5972	596.5054896	0.619306049	1379.167509	775330.6356	596.2310071	0.180653809	5.567360001	1442.114417	-4.382984896	39.96750398	-0.344117434	1331.961662	0.274482471	0.081263627	2.504369385	-1.971601115	0.081263627	2.504369385	-1.971601115	0.000305671	0.014058487	-3.061627387
5	2022-11-24	12:30:00	8	CRDS_e	Plot_east	0.5	47.37695313	2.660490479	0.036100253	2.589734427	2.731246531	-0.910211439	0.028856463	-0.966769752	-0.853653127	0.165345916	0.032602647	0.101445128	0.229246704	0.755601554	0.020603188	0.715219559	0.79598355	54460	2.218075652	16.7	5.8	2.559498932	0.3107929	-2702.8	0.09327	2.768	2.941	1.643	1.947	150.462	0.053	100000	57	24-11-2022 13:00	Sonic	1.035295608	0.310792916	1.642526867	2.768433446	2.941194105	2.360795512	6.454953519	102236.2165	0.4	0.5	0.02	1.642	8.058	1.963977087	1371.172282	775420.4998	591.253396	24.58360761	1366.159079	775570.3671	595.142484	0.748614709	1365.614489	774705.9426	594.9648286	0.119762378	5.557793044	714.557194	-3.711432611	24.3857929	0.544589671	864.4244501	0.177655344	0.04501515	2.089010687	-1.39501819	0.04501515	2.089010687	-1.39501819	0.00037231	0.017818707	-3.86073861
6	2022-11-24	13:00:00	9	CRDS_e	Plot_east	0.5	47.37695313	3.322207113	0.039166914	3.245440443	3.398973782	-1.095072667	0.031966421	-1.157726459	-1.032418874	0.090760824	0.035891076	0.020414756	0.161106892	0.715229067	0.019065796	0.677860341	0.752597792	60731	2.714788164	24.5	7.01	2.412396495	0.3179334	1722.7	0.1326	2.722	2.874	1.416	1.947	147.799	0.053	100000	59	24-11-2022 13:30	Sonic	-1.739671226	0.317933448	1.41573857	2.721567024	2.873740774	2.135054067	6.586754499	102304.3159	0.4	0.5	0.02	1.416	5.673	1.970396937	1371.865468	774068.4204	592.2088641	34.8294279	1366.964094	774844.606	596.8323278	0.801023133	1366.306137	773582.765	596.0438034	0.073773804	5.559330717	485.6554422	-3.83493929	34.57920477	0.657957582	1261.841025	0.788524454	0.022206263	1.67338475	-1.154334802	0.022206263	1.67338475	-1.154334802	0.000405184	0.020830799	-4.52197866
7	2022-11-24	13:30:00	10	CRDS_e	Plot_east	0.5	47.37695313	2.997558466	0.036302945	2.92640514	3.068711791	-1.059341632	0.033030831	-1.124081655	-0.994601608	0.158928788	0.029535401	0.101039764	0.216817812	0.680484632	0.018283396	0.644649401	0.716319864	57945	2.568951592	22	9.25	2.607137233	0.3179628	2682	0.1074	2.875	2.68	1.509	1.947	141.775	0.053	100000	63	24-11-2022 14:00	Sonic	-1.118133023	0.317962828	1.508672714	2.874867529	2.679584306	2.302925066	6.685835576	102349.8759	0.4	0.5	0.02	1.509	6.558	2.023427096	1371.173823	774092.4249	592.6540067	33.92099128	1366.304911	774554.8793	594.6626115	0.789219323	1365.58974	773519.1877	595.54971	0.138607773	5.584083121	573.2371367	-2.895703252	33.68257196	0.715171052	1035.691599	-0.887098491	0.046240223	1.862877133	-0.966020608	0.046240223	1.862877133	-0.966020608	0.000473636	0.024183978	-5.075346291
8	2022-11-24	14:00:00	11	CRDS_e	Plot_east	0.5	47.37695313	3.735889692	0.041139056	3.655257648	3.816521735	-1.006637954	0.030380714	-1.066183781	-0.947092127	0.009363875	0.031591537	-0.05255515	0.0712829	0.782414338	0.017864599	0.747399943	0.817428733	66355	2.640140155	21.8	6.66	2.327420564	0.2943451	2144	0.1488	2.448	2.682	1.485	1.947	150.127	0.053	100000	57	24-11-2022 14:30	Sonic	-1.109965881	0.294345057	1.484898685	2.448320931	2.682462428	1.891875039	6.779068776	102336.0963	0.4	0.5	0.02	1.485	6.317	2.105199694	1370.093266	772962.633	590.7029522	24.53550285	1365.144417	773326.1114	595.424544	0.850452849	1364.570146	772473.9168	595.6139137	0.159146845	5.523120213	488.7161886	-4.910961522	24.23585	0.574270587	852.1945821	-0.189369747	0.04259945	1.478394885	-1.314536008	0.04259945	1.478394885	-1.314536008	0.000536698	0.026845089	-5.828354736
9	2022-11-24	14:30:00	12	CRDS_e	Plot_east	0.5	47.37695313	2.819254209	0.052734463	2.715895309	2.922613108	-0.982772536	0.033570737	-1.048570768	-0.916974304	0.125619648	0.033376005	0.060203087	0.191036208	0.712600268	0.018736221	0.675877505	0.74932303	57068	2.179077592	18.1	7.04	2.580501775	0.3473886	634.4	0.117	2.578	2.672	1.468	1.947	154.206	0.053	100000	58	24-11-2022 15:00	Sonic	-6.165681267	0.347388628	1.467894339	2.578286113	2.672318409	2.441862449	6.750898072	102388.8745	0.4	0.5	0.02	1.468	6.152	2.042876176	1371.136226	772062.7012	592.6631371	24.29026976	1366.10181	772842.5108	595.9647107	0.890963133	1365.597321	771815.2855	594.9134962	0.056313042	5.538904751	247.4156817	-2.250359113	23.95010663	0.504488968	1027.225316	1.051214512	0.019974446	1.964670208	-0.798210784	0.019974446	1.964670208	-0.798210784	0.000566268	0.030381495	-6.28559551
10	2022-11-24	15:00:00	NaN	<undefined>	<undefined>	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaT	<undefined>	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.022691957	1368.209069	771188.0343	593.2104195	20.72683385	1363.141853	771798.4005	594.898059	0.874658239	1362.623152	771042.0929	595.3037598	0.052433717	5.585917168	145.9413332	-2.093340369	20.40297561	0.518700874	756.3076195	-0.40570085	NaN	NaN	NaN	0.021645258	1.892185585	-0.698921193	0.000598311	0.033787429	-6.685960017
