st_date	st_time	WS	airT	Pair	emis_NH3	emis_CH4	emis_N2O	emis_NH3_gap	emis_CH4_gap	emis_N2O_gap	cum_NH3_gN	cum_CH4_gCH4	cum_N2O_mgN
2022-11-24	10:30:00	2.137416856	6.028971852	102175.1624	0.031881544	0.176692012	-2.194739646	0.031881544	0.176692012	-2.194739646	NaN	NaN	NaN
2022-11-24	11:00:00	2.285491286	5.991064729	102210.0569	0.365185232	0.292228321	-1.570466677	0.365185232	0.292228321	-1.570466677	NaN	NaN	NaN
2022-11-24	11:30:00	3.02248828	6.020738464	102156.541	18.05555063	-0.054916064	0.002584591	18.05555063	-0.054916064	0.002584591	NaN	NaN	NaN
2022-11-24	12:00:00	2.728575413	6.305404007	102180.707	17.55086186	-0.151111702	0.120533019	17.55086186	-0.151111702	0.120533019	0.025981644	-0.000272001	0.069045185
2022-11-24	12:30:00	2.360795512	6.454953519	102236.2165	9.046352248	0.202025417	0.065904473	9.046352248	0.202025417	0.065904473	0.039373528	9.16E-05	0.106797383
2022-11-24	13:00:00	2.135054067	6.586754499	102304.3159	10.2969242	0.19592525	0.234805184	10.2969242	0.19592525	0.234805184	0.054616712	0.00044431	0.241301334
2022-11-24	13:30:00	2.302925066	6.685835576	102349.8759	11.07530363	0.235158306	-0.291690467	11.07530363	0.235158306	-0.291690467	0.071012181	0.000867595	0.074211666
2022-11-24	14:00:00	1.891875039	6.779068776	102336.0963	6.42345531	0.152204336	-0.050190446	6.42345531	0.152204336	-0.050190446	0.080521225	0.001141563	0.045460967
2022-11-24	14:30:00	2.441862449	6.750898072	102388.8745	8.415464805	0.177264729	0.369370327	8.415464805	0.177264729	0.369370327	0.092979167	0.001460639	0.257048154
2022-11-24	15:00:00	NaN	NaN	NaN	NaN	NaN	NaN	8.083072616	0.143209223	0.339870633	0.104945048	0.001718416	0.451736969
2022-11-24	15:30:00	2.082182543	6.72432249	102397.1668	7.750680427	0.109153717	0.310370939	7.750680427	0.109153717	0.310370939	0.116418867	0.001914893	0.629527411
2022-11-24	16:00:00	1.901087647	6.680300615	102408.3194	6.390646818	0.214248831	-0.110996589	6.390646818	0.214248831	-0.110996589	0.125879343	0.002300541	0.565945
