"","tk","id","cum.emis.perc","app.meth"
"52","A","3",44.8405192230335,"TH"
"78","A","5",44.3064371339576,"TH"
"104","A","6",38.380696477386,"TH"
"156","A","9",44.8245925890914,"TH"
"182","A","10",41.8374236581043,"TH"
"208","A","12",41.918598288486,"TH"
"260","A","15",42.1943547933533,"TH"
"286","A","16",42.0942299434661,"TH"
"312","A","17",41.796967036425,"TH"
"381","B","1",49.9944436884827,"TH"
"450","B","3",68.7899439641139,"TH"
"518","B","4",59.0914730100694,"TH"
"587","B","5",88.7882745667961,"TH"
"656","B","7",61.3509607738732,"TH"
"725","B","8",61.0085655061238,"TH"
"794","B","9",70.1316569504242,"TH"
"863","B","10",53.050705949913,"TH"
"932","B","12",50.8923433585751,"TH"
"1022","C","10",7.39128939861602,"IN"
"1112","C","2",5.75945787721126,"IN"
"1202","C","3",3.03118606547399,"IN"
"1292","C","4",2.56342221494875,"IN"
"1382","C","5",8.31804277612872,"IN"
"1472","C","6",1.47378493122596,"IN"
"1562","C","8",4.14350102306982,"IN"
"1652","C","1",38.0504207499745,"TH"
"1742","C","3",35.6386126267158,"TH"
"1832","C","4",44.4706466309862,"TH"
"1922","C","5",44.1209367939322,"TH"
"2012","C","6",52.3828738822264,"TH"
"2102","C","8",42.1503992131916,"TH"
