st_date	st_time	WS	airT	Pair	emis_NH3	emis_CH4	emis_N2O	emis_NH3_gap	emis_CH4_gap	emis_N2O_gap	cum_NH3_gN	cum_CH4_gCH4	cum_N2O_mgN
2022-11-24	10:30:00	2.137416856	6.028971852	102175.1624	0.036868116	1.94830705	-1.446239724	0.036868116	1.94830705	-1.446239724	NaN	NaN	NaN
2022-11-24	11:00:00	2.285491286	5.991064729	102210.0569	0.051156785	2.339932984	-0.909130289	0.051156785	2.339932984	-0.909130289	7.57E-05	0.004211879	-0.520779029
2022-11-24	11:30:00	3.02248828	6.020738464	102156.541	0.074063727	2.965968404	-2.463988788	0.074063727	2.965968404	-2.463988788	0.000185372	0.009550622	-1.932230944
2022-11-24	12:00:00	2.728575413	6.305404007	102180.707	0.081263627	2.504369385	-1.971601115	0.081263627	2.504369385	-1.971601115	0.000305671	0.014058487	-3.061627387
2022-11-24	12:30:00	2.360795512	6.454953519	102236.2165	0.04501515	2.089010687	-1.39501819	0.04501515	2.089010687	-1.39501819	0.00037231	0.017818707	-3.86073861
2022-11-24	13:00:00	2.135054067	6.586754499	102304.3159	0.022206263	1.67338475	-1.154334802	0.022206263	1.67338475	-1.154334802	0.000405184	0.020830799	-4.52197866
2022-11-24	13:30:00	2.302925066	6.685835576	102349.8759	0.046240223	1.862877133	-0.966020608	0.046240223	1.862877133	-0.966020608	0.000473636	0.024183978	-5.075346291
2022-11-24	14:00:00	1.891875039	6.779068776	102336.0963	0.04259945	1.478394885	-1.314536008	0.04259945	1.478394885	-1.314536008	0.000536698	0.026845089	-5.828354736
2022-11-24	14:30:00	2.441862449	6.750898072	102388.8745	0.019974446	1.964670208	-0.798210784	0.019974446	1.964670208	-0.798210784	0.000566268	0.030381495	-6.28559551
2022-11-24	15:00:00	NaN	NaN	NaN	NaN	NaN	NaN	0.021645258	1.892185585	-0.698921193	0.000598311	0.033787429	-6.685960017
2022-11-24	15:30:00	2.082182543	6.72432249	102397.1668	0.02331607	1.819700962	-0.599631602	0.02331607	1.819700962	-0.599631602	0.000632827	0.037062891	-7.029448257
2022-11-24	16:00:00	1.901087647	6.680300615	102408.3194	0.030292698	1.612632783	-0.874425934	0.030292698	1.612632783	-0.874425934	0.000677671	0.03996563	-7.530347517
2022-11-24	16:30:00	2.227153216	6.688611907	102424.9808	0.045758059	1.994614305	-1.059530635	0.045758059	1.994614305	-1.059530635	0.00074541	0.043555936	-8.137280695
2022-11-24	17:00:00	NaN	NaN	NaN	NaN	NaN	NaN	0.047672226	1.738830808	-0.854840829	0.000815982	0.046685831	-8.626960977
2022-11-24	17:30:00	1.923945222	6.681236807	102441.6579	0.049586394	1.483047311	-0.650151022	0.049586394	1.483047311	-0.650151022	0.000889388	0.049355316	-8.999388363
2022-11-24	18:00:00	2.179253337	6.643602209	102449.9598	0.068331136	1.760661616	-1.49994447	0.068331136	1.760661616	-1.49994447	0.000990543	0.052524507	-9.858604731
2022-11-24	18:30:00	2.283873057	6.524686561	102491.5857	0.077789987	2.163089945	-0.729594319	0.077789987	2.163089945	-0.729594319	0.0011057	0.056418069	-10.27653979
2022-11-24	19:00:00	2.149311287	6.532346421	102499.9091	0.086531378	1.964273268	-1.569355753	0.086531378	1.964273268	-1.569355753	0.001233798	0.059953761	-11.17551717
2022-11-24	19:30:00	1.899691858	6.356193089	102547.7864	0.060769687	1.584999688	-0.561321928	0.060769687	1.584999688	-0.561321928	0.001323759	0.06280676	-11.4970604
2022-11-24	20:00:00	1.995347512	6.325846288	102602.6376	0.077808557	1.814900821	-0.584937811	0.077808557	1.814900821	-0.584937811	0.001438944	0.066073582	-11.83213156
2022-11-24	20:30:00	2.237494697	6.369878445	102647.1969	0.105615419	2.435847211	-1.193228219	0.105615419	2.435847211	-1.193228219	0.001595293	0.070458107	-12.51565101
2022-11-24	21:00:00	2.218745065	6.378876071	102661.1606	0.092818389	1.875949201	-0.670040242	0.092818389	1.875949201	-0.670040242	0.001732698	0.073834815	-12.89947158
2022-11-24	21:30:00	1.819427263	6.417925036	102722.091	0.099294823	1.726443775	-0.27622867	0.099294823	1.726443775	-0.27622867	0.00187969	0.076942414	-13.05770424
2022-11-24	22:00:00	1.778339929	6.485918759	102674.9293	0.085875202	1.4672494	-0.171257849	0.085875202	1.4672494	-0.171257849	0.002006817	0.079583463	-13.15580623
