dummy	st_date	st_time	rn	Sensor	Source	SensorHeight	SourceArea	CE	CE_se	CE_lo	CE_hi	uCE	uCE_se	uCE_lo	uCE_hi	vCE	vCE_se	vCE_lo	vCE_hi	wCE	wCE_se	wCE_lo	wCE_hi	N_TD	TD_Time_avg	TD_Time_max	Max_Dist	UCE	Ustar	L	Zo	sUu	sVu	sWu	z_sWu	WD	d	N0	MaxFetch	et	Sonic_raw	SH	UST	sigW	sigU	sigV	WS	airT	Pair	kv	A	alpha	bw	C0	NH3_east	CH4_east	CO2_east	N2O_east	NH3_west	CH4_west	CO2_west	N2O_west	NH3_bg	CH4_bg	CO2_bg	N2O_bg	dNH3_east	dCH4_east	dCO2_east	dN2O_east	dNH3_west	dCH4_west	dCO2_west	dN2O_west	emis_NH3	emis_CH4	emis_N2O	emis_NH3_gap	emis_CH4_gap	emis_N2O_gap	cum_NH3_gN	cum_CH4_gCH4	cum_N2O_mgN
11	2022-11-24	15:30:00	14	CRDS_w	Plot_west	0.5	56.4699707	3.066571154	0.040567673	2.987059013	3.146083295	-0.981298951	0.029796588	-1.039699897	-0.922898004	0.188844695	0.028681138	0.132630016	0.245059374	0.705152215	0.017862543	0.670141851	0.740162579	53671	2.581624799	16.12503385	6.17	2.535209997	0.2796446	285.1	0.09904	2.787	3.046	1.608	1.947	152.55	0.053	100000	57	24-11-2022 16:00	Sonic	-7.155935381	0.279644576	1.608400129	2.786624378	3.045678828	2.082182543	6.72432249	102397.1668	0.4	0.5	0.02	1.608	7.647	2.018596663	1368.362928	771853.9467	592.687284	24.06939185	1363.170683	772396.2481	595.4603179	0.852178831	1362.835956	771624.3953	594.5085433	0.070817832	5.526972536	229.5513998	-1.821259352	23.76801302	0.334727639	771.8527535	0.95177457	7.930033839	0.109153717	0.310370939	7.930033839	0.109153717	0.310370939	0.118631809	0.001914893	0.629527411
12	2022-11-24	16:00:00	15	CRDS_w	Plot_west	0.5	56.4699707	3.583320439	0.04329645	3.49845993	3.668180948	-0.959433116	0.029487219	-1.017227702	-0.90163853	0.082682042	0.033224137	0.017563142	0.147800943	0.755806405	0.019722548	0.717150454	0.794462356	62906	2.793545926	21.7	6.66	2.482954291	0.2782537	241.2	0.1266	2.769	2.827	1.561	1.947	150.169	0.053	100000	57	24-11-2022 16:30	Sonic	-8.333347677	0.278253738	1.561311123	2.76859311	2.827083488	1.901087647	6.680300615	102408.3194	0.4	0.5	0.02	1.561	7.111	1.995539338	1378.425124	774528.1782	592.4174081	23.14148383	1373.47589	775037.2256	595.1196058	0.792548464	1372.708168	774336.2021	595.5173421	0.107390874	5.716956709	191.9760945	-3.099934008	22.89973536	0.767722214	701.0234365	-0.397736346	6.544135742	0.214248831	-0.110996589	6.544135742	0.214248831	-0.110996589	0.128319505	0.002300541	0.565945
13	2022-11-24	16:30:00	16	CRDS_w	Plot_west	0.5	56.4699707	2.886644384	0.03807554	2.812016793	2.961271975	-0.979081625	0.030579697	-1.039017455	-0.919145795	0.215633983	0.029190997	0.158419987	0.272847979	0.711783454	0.018062102	0.676381956	0.747184951	54392	2.43577207	17.48010002	7.45	2.597560252	0.3021551	275.7	0.1021	2.675	2.696	1.514	1.947	148.955	0.053	100000	58	24-11-2022 17:00	Sonic	-9.333768157	0.302155099	1.513742341	2.675327996	2.696107716	2.227153216	6.688611907	102424.9808	0.4	0.5	0.02	1.514	6.609	2.013430888	1377.800943	773983.9633	592.5205997	20.74791059	1372.858678	774506.1081	596.4272348	0.787223026	1372.107687	773971.0426	595.5448327	0.130607862	5.693255264	12.92072584	-3.024232982	20.51148757	0.750990545	535.0654891	0.882402116	7.296183653	0.260160396	0.305684386	7.296183653	0.260160396	0.305684386	0.139120504	0.002768829	0.741050834
14	2022-11-24	17:00:00	NaN	<undefined>	<undefined>	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaT	<undefined>	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.032367437	1378.310317	776185.8065	592.9528901	21.07872882	1373.621722	776684.0819	595.1117536	0.732722979	1372.443666	776111.6402	594.9459497	0.204044459	5.866651509	74.1663369	-1.993059555	20.89680584	1.178056389	572.4417152	0.165803889	NaN	NaN	NaN	6.230068048	0.195464099	0.306355192	0.148343265	0.003120665	0.916540927
15	2022-11-24	17:30:00	18	CRDS_w	Plot_west	0.5	56.4699707	3.879699201	0.0445997	3.792284336	3.967114065	-1.004877385	0.033429972	-1.070399719	-0.939355051	0.039411983	0.033309529	-0.025874285	0.104698251	0.783699758	0.017453198	0.749491704	0.817907812	73737	2.624849126	25.2	9.61	2.124736757	0.3298391	344.2	0.1888	2.717	2.526	1.433	1.947	154.383	0.053	100000	58	24-11-2022 18:00	Sonic	-9.726460634	0.32983912	1.432824538	2.716606559	2.526313102	1.923945222	6.681236807	102441.6579	0.4	0.5	0.02	1.433	5.825	2.018000185	1384.931966	776599.8979	592.9499879	19.66587149	1379.747422	777127.6777	596.6364136	0.732089322	1379.240082	776550.2041	595.4452451	0.190310863	5.691884225	49.6938098	-2.495257109	19.48458217	0.507339734	577.4736022	1.191168518	5.163952444	0.130767801	0.307025998	5.163952444	0.130767801	0.307025998	0.155987789	0.003356047	1.09241528
16	2022-11-24	18:00:00	19	CRDS_w	Plot_west	0.5	56.4699707	3.141240961	0.039033498	3.064735785	3.217746137	-1.016454052	0.033525091	-1.082162818	-0.950745285	0.095056469	0.038416767	0.019760079	0.17035286	0.750345699	0.018819593	0.713459527	0.78723187	63103	2.375964693	26.2	6.28	2.328620025	0.3291063	365.4	0.1377	2.796	3.051	1.527	1.947	160.137	0.053	100000	60	24-11-2022 18:30	Sonic	-9.098599112	0.329106275	1.527360442	2.796073927	3.050862872	2.179253337	6.643602209	102449.9598	0.4	0.5	0.02	1.527	6.745	2.022054089	1384.016088	776541.3055	591.5987101	17.74672216	1378.724594	777022.3075	595.2193702	0.713716226	1378.534555	776415.409	596.2685429	0.212737863	5.48153321	125.8964706	-4.669832836	17.58380594	0.190039461	606.8985198	-1.04917265	5.772815954	0.060498212	-0.333999417	5.772815954	0.060498212	-0.333999417	0.164533651	0.003464944	0.901089687
17	2022-11-24	18:30:00	20	CRDS_w	Plot_west	0.5	56.4699707	2.527500201	0.035605849	2.457713174	2.597287228	-0.897886543	0.03041785	-0.957505154	-0.838267931	0.193104639	0.033124102	0.128181806	0.258027471	0.66431163	0.017530891	0.629951299	0.698671961	49058	2.384746053	17.3321724	6.35	2.503500514	0.278623	192	0.07334	3.217	3.324	1.719	1.947	153.172	0.053	100000	57	24-11-2022 19:00	Sonic	-10.50292503	0.278623006	1.718720654	3.216939437	3.324089324	2.283873057	6.524686561	102491.5857	0.4	0.5	0.02	1.719	9.058	1.985165872	1378.942612	776028.5807	592.6948578	15.17178415	1373.643077	776660.924	594.119912	0.695529943	1373.547095	775991.2382	594.5147258	0.194035929	5.395516632	37.34242902	-1.819868052	15.02705421	0.095982528	669.6857941	-0.394813862	6.163027881	0.03797528	-0.156207253	6.163027881	0.03797528	-0.156207253	0.173657169	0.003533299	0.811609155
18	2022-11-24	19:00:00	21	CRDS_w	Plot_west	0.5	56.4699707	2.808766659	0.048846634	2.713027858	2.90450546	-1.01677673	0.04015417	-1.09547841	-0.93807505	0.154527556	0.046637269	0.063119082	0.245936029	0.696000244	0.017796205	0.6611199	0.730880587	53796	2.430452078	21.6	5.46	2.316211369	0.285106	224.9	0.09543	3.004	3.006	1.68	1.947	157.776	0.053	100000	59	24-11-2022 19:30	Sonic	-9.608508653	0.285106026	1.680430031	3.003644246	3.005903222	2.149311287	6.532346421	102499.9091	0.4	0.5	0.02	1.68	8.539	2.0094521	1381.339187	776882.9701	591.0116703	15.42911106	1375.938321	777616.0302	595.5624048	0.673479892	1375.882707	776977.2719	595.3711237	0.240372208	5.456479639	-94.30185282	-4.359453368	15.30643117	0.055613308	638.7582342	0.191281056	5.645335869	0.019799903	0.068101441	5.645335869	0.019799903	0.068101441	0.182014315	0.003568939	0.850619848
19	2022-11-24	19:30:00	22	CRDS_w	Plot_west	0.5	56.4699707	3.425678764	0.044321177	3.338809802	3.512547727	-0.932988961	0.032744606	-0.997167985	-0.868809936	0.194396054	0.040909095	0.11421473	0.274577378	0.763984432	0.019905129	0.724970624	0.802998241	60562	2.656535451	21.8	5.6	2.468687511	0.2693803	146.1	0.1159	2.801	2.969	1.646	1.947	155.885	0.053	100000	58	24-11-2022 20:00	Sonic	-12.46795414	0.269380298	1.64606975	2.80134781	2.968880044	1.899691858	6.356193089	102547.7864	0.4	0.5	0.02	1.646	8.107	1.960255251	1381.258042	777154.3541	592.5600824	12.65424073	1375.785469	777589.0774	596.1557471	0.658493907	1375.880925	777035.0908	594.4643687	0.206161344	5.377116164	119.2633143	-1.904286314	12.54654683	-0.095456047	553.9865658	1.691378422	3.823051642	-0.027864856	0.493735268	3.823051642	-0.027864856	0.493735268	0.187673818	0.003518782	1.133447267
20	2022-11-24	20:00:00	23	CRDS_w	Plot_west	0.5	56.4699707	3.146469087	0.043813536	3.060595095	3.232343079	-1.012787453	0.033621253	-1.078684696	-0.946890209	0.064246911	0.034456926	-0.003288241	0.131782063	0.694074165	0.017299272	0.660167805	0.727980525	56436	2.685548556	22.34880222	6.85	2.363185457	0.2766909	279.8	0.1088	2.831	2.848	1.558	1.947	158.297	0.053	100000	59	24-11-2022 20:30	Sonic	-7.053942055	0.276690894	1.558219213	2.831290407	2.84788479	1.995347512	6.325846288	102602.6376	0.4	0.5	0.02	1.558	7.078	1.971958584	1383.286737	777580.9211	593.201248	15.32119097	1378.152661	778124.5812	594.4900892	0.63416624	1377.63755	777524.4223	595.0219662	0.242192344	5.649186969	56.49883553	-1.820718258	15.23782473	0.515110515	600.1588827	-0.531877047	5.017632238	0.163710655	-0.169039336	5.017632238	0.163710655	-0.169039336	0.195101735	0.003813461	1.036616106
