tk;id;cum.emis.perc;app.meth
A;3;57.65209614;Trailing hose
A;5;56.96541917;Trailing hose
A;6;49.34660976;Trailing hose
A;9;57.63161904;Trailing hose
A;10;53.79097327;Trailing hose
A;12;53.89534066;Trailing hose
A;15;54.24988473;Trailing hose
A;16;54.12115278;Trailing hose
A;17;53.73895762;Trailing hose
B;1;49.99444369;Trailing hose
B;3;68.78994396;Trailing hose
B;4;59.09147301;Trailing hose
B;5;88.78827457;Trailing hose
B;7;61.35096077;Trailing hose
B;8;61.00856551;Trailing hose
B;9;70.13165695;Trailing hose
B;10;53.05070595;Trailing hose
B;12;50.89234336;Trailing hose
C;10;7.391289399;Injection
C;2;5.759457877;Injection
C;3;3.031186065;Injection
C;4;2.563422215;Injection
C;5;8.318042776;Injection
C;6;1.473784931;Injection
C;8;4.143501023;Injection
C;1;38.05042075;Trailing hose
C;3;35.63861263;Trailing hose
C;4;44.47064663;Trailing hose
C;5;44.12093679;Trailing hose
C;6;52.38287388;Trailing hose
C;8;42.15039921;Trailing hose
