tk;id;treat;elapsed.time;flux.perc;block
A;1;WT;0;0.010623152;1
A;1;WT;2.4;0.040589166;1
A;1;WT;4.8;0.037357085;1
A;1;WT;7.2;0.033701677;1
A;1;WT;9.59;0.028946725;1
A;1;WT;12;0.023963035;1
A;1;WT;14.4;0.021989032;1
A;1;WT;16.8;0.018191027;1
A;1;WT;19.2;0.019475065;1
A;1;WT;21.6;0.018080316;1
A;1;WT;24;0.014672046;1
A;1;WT;26.4;0.011719947;1
A;1;WT;28.8;0.010344443;1
A;1;WT;31.2;0.008026281;1
A;1;WT;33.6;0.006691455;1
A;1;WT;36;0.006365781;1
A;1;WT;38.4;0.005697581;1
A;1;WT;40.8;0.005503265;1
A;1;WT;43.2;0.006605401;1
A;1;WT;45.6;0.006801722;1
A;1;WT;48;0.006003968;1
A;1;WT;50.4;0.004410593;1
A;1;WT;52.8;0.003960792;1
A;1;WT;55.2;0.004063198;1
A;1;WT;57.6;0.003704234;1
A;1;WT;60;0.003655579;1
A;3;DFC;0;0.06102765;2
A;3;DFC;2.4;0.051882366;2
A;3;DFC;4.8;0.041243249;2
A;3;DFC;7.2;0.034684168;2
A;3;DFC;9.59;0.029414366;2
A;3;DFC;12;0.024409227;2
A;3;DFC;14.4;0.022345405;2
A;3;DFC;16.8;0.01863321;2
A;3;DFC;19.2;0.019572402;2
A;3;DFC;21.6;0.017935256;2
A;3;DFC;24;0.015247648;2
A;3;DFC;26.4;0.012947199;2
A;3;DFC;28.8;0.010584377;2
A;3;DFC;31.2;0.008431537;2
A;3;DFC;33.6;0.007267187;2
A;3;DFC;36;0.006587345;2
A;3;DFC;38.4;0.006092083;2
A;3;DFC;40.8;0.005577678;2
A;3;DFC;43.2;0.005613388;2
A;3;DFC;45.6;0.006201477;2
A;3;DFC;48;0.00577702;2
A;3;DFC;50.4;0.004975786;2
A;3;DFC;52.8;0.004614073;2
A;3;DFC;55.2;0.004104636;2
A;3;DFC;57.6;0.003940231;2
A;3;DFC;60;0.003533314;2
A;5;DFC;0;0.062753671;3
A;5;DFC;2.4;0.05527271;3
A;5;DFC;4.8;0.043938201;3
A;5;DFC;7.2;0.036255149;3
A;5;DFC;9.59;0.029920009;3
A;5;DFC;12;0.024323145;3
A;5;DFC;14.4;0.021584478;3
A;5;DFC;16.8;0.017774559;3
A;5;DFC;19.2;0.016968243;3
A;5;DFC;21.6;0.016917097;3
A;5;DFC;24;0.014225982;3
A;5;DFC;26.4;0.0117429;3
A;5;DFC;28.8;0.009469942;3
A;5;DFC;31.2;0.007688895;3
A;5;DFC;33.6;0.006512531;3
A;5;DFC;36;0.006096651;3
A;5;DFC;38.4;0.005547723;3
A;5;DFC;40.8;0.005088888;3
A;5;DFC;43.2;0.005450343;3
A;5;DFC;45.6;0.006272052;3
A;5;DFC;48;0.005322494;3
A;5;DFC;50.4;0.004541321;3
A;5;DFC;52.8;0.004128691;3
A;5;DFC;55.2;0.003934546;3
A;5;DFC;57.6;0.003601226;3
A;5;DFC;60;0.003277113;3
A;6;DFC;0;0.055590723;1
A;6;DFC;2.4;0.049411025;1
A;6;DFC;4.8;0.038870763;1
A;6;DFC;7.2;0.032312054;1
A;6;DFC;9.59;0.026143124;1
A;6;DFC;12;0.020856827;1
A;6;DFC;14.4;0.018440956;1
A;6;DFC;16.8;0.015190618;1
A;6;DFC;19.2;0.014696258;1
A;6;DFC;21.6;0.013553529;1
A;6;DFC;24;0.011812087;1
A;6;DFC;26.4;0.009722362;1
A;6;DFC;28.8;0.007997286;1
A;6;DFC;31.2;0.006387345;1
A;6;DFC;33.6;0.005548969;1
A;6;DFC;36;0.005076531;1
A;6;DFC;38.4;0.004596389;1
A;6;DFC;40.8;0.004421375;1
A;6;DFC;43.2;0.004571618;1
A;6;DFC;45.6;0.005159163;1
A;6;DFC;48;0.004651172;1
A;6;DFC;50.4;0.003907212;1
A;6;DFC;52.8;0.003683615;1
A;6;DFC;55.2;0.003559631;1
A;6;DFC;57.6;0.002821113;1
A;6;DFC;60;0.0029968;1
A;7;WT;0;0.02095551;2
A;7;WT;2.4;0.057879031;2
A;7;WT;4.8;0.048770473;2
A;7;WT;7.2;0.041343707;2
A;7;WT;9.59;0.034134496;2
A;7;WT;12;0.028284366;2
A;7;WT;14.4;0.027405398;2
A;7;WT;16.8;0.023178797;2
A;7;WT;19.2;0.024270138;2
A;7;WT;21.6;0.022590924;2
A;7;WT;24;0.020780996;2
A;7;WT;26.4;0.016629253;2
A;7;WT;28.8;0.013395038;2
A;7;WT;31.2;0.010998053;2
A;7;WT;33.6;0.009396416;2
A;7;WT;36;0.008802657;2
A;7;WT;38.4;0.007833053;2
A;7;WT;40.8;0.007715269;2
A;7;WT;43.2;0.009473951;2
A;7;WT;45.6;0.009052429;2
A;7;WT;48;0.007350234;2
A;7;WT;50.4;0.005410252;2
A;7;WT;52.8;0.005834265;2
A;7;WT;55.2;0.005444015;2
A;7;WT;57.6;0.004835751;2
A;7;WT;60;0.004660894;2
A;9;DFC;0;0.056104169;3
A;9;DFC;2.4;0.049847653;3
A;9;DFC;4.8;0.03960089;3
A;9;DFC;7.2;0.033493057;3
A;9;DFC;9.59;0.029006562;3
A;9;DFC;12;0.024325622;3
A;9;DFC;14.4;0.022260568;3
A;9;DFC;16.8;0.01958589;3
A;9;DFC;19.2;0.019326024;3
A;9;DFC;21.6;0.018607795;3
A;9;DFC;24;0.016609322;3
A;9;DFC;26.4;0.013374118;3
A;9;DFC;28.8;0.010833834;3
A;9;DFC;31.2;0.008839642;3
A;9;DFC;33.6;0.007726867;3
A;9;DFC;36;0.006924631;3
A;9;DFC;38.4;0.006454813;3
A;9;DFC;40.8;0.006059094;3
A;9;DFC;43.2;0.006296064;3
A;9;DFC;45.6;0.006592371;3
A;9;DFC;48;0.006552208;3
A;9;DFC;50.4;0.005090649;3
A;9;DFC;52.8;0.004645144;3
A;9;DFC;55.2;0.004266134;3
A;9;DFC;57.6;0.004097262;3
A;9;DFC;60;0.003502486;3
A;10;DFC;0;0.05324968;1
A;10;DFC;2.4;0.047816204;1
A;10;DFC;4.8;0.039502465;1
A;10;DFC;7.2;0.033097781;1
A;10;DFC;9.59;0.028265108;1
A;10;DFC;12;0.023542243;1
A;10;DFC;14.4;0.020864301;1
A;10;DFC;16.8;0.018201451;1
A;10;DFC;19.2;0.01793318;1
A;10;DFC;21.6;0.016626618;1
A;10;DFC;24;0.014710033;1
A;10;DFC;26.4;0.011852895;1
A;10;DFC;28.8;0.009629922;1
A;10;DFC;31.2;0.007741529;1
A;10;DFC;33.6;0.006649015;1
A;10;DFC;36;0.006015709;1
A;10;DFC;38.4;0.005682704;1
A;10;DFC;40.8;0.005385552;1
A;10;DFC;43.2;0.005550687;1
A;10;DFC;45.6;0.005677764;1
A;10;DFC;48;0.005405956;1
A;10;DFC;50.4;0.004348479;1
A;10;DFC;52.8;0.004108731;1
A;10;DFC;55.2;0.003612595;1
A;10;DFC;57.6;0.003134372;1
A;10;DFC;60;0.003136549;1
A;12;DFC;0;0.056072268;2
A;12;DFC;2.4;0.048445959;2
A;12;DFC;4.8;0.037953879;2
A;12;DFC;7.2;0.031697591;2
A;12;DFC;9.59;0.02762132;2
A;12;DFC;12;0.023440425;2
A;12;DFC;14.4;0.020847334;2
A;12;DFC;16.8;0.018954588;2
A;12;DFC;19.2;0.017979886;2
A;12;DFC;21.6;0.016924342;2
A;12;DFC;24;0.014592793;2
A;12;DFC;26.4;0.0119241;2
A;12;DFC;28.8;0.009446846;2
A;12;DFC;31.2;0.007828027;2
A;12;DFC;33.6;0.006742973;2
A;12;DFC;36;0.006232591;2
A;12;DFC;38.4;0.005721564;2
A;12;DFC;40.8;0.005459693;2
A;12;DFC;43.2;0.005824256;2
A;12;DFC;45.6;0.005809007;2
A;12;DFC;48;0.005250801;2
A;12;DFC;50.4;0.004363084;2
A;12;DFC;52.8;0.004034389;2
A;12;DFC;55.2;0.003946001;2
A;12;DFC;57.6;0.003458328;2
A;12;DFC;60;0.003474651;2
A;13;WT;0;0.014667149;3
A;13;WT;2.4;0.055454039;3
A;13;WT;4.8;0.04706951;3
A;13;WT;7.2;0.041579003;3
A;13;WT;9.59;0.035836677;3
A;13;WT;12;0.031267306;3
A;13;WT;14.4;0.026765863;3
A;13;WT;16.8;0.024555705;3
A;13;WT;19.2;0.024492017;3
A;13;WT;21.6;0.022302736;3
A;13;WT;24;0.017951464;3
A;13;WT;26.4;0.014571544;3
A;13;WT;28.8;0.011230628;3
A;13;WT;31.2;0.009641792;3
A;13;WT;33.6;0.00828168;3
A;13;WT;36;0.007730304;3
A;13;WT;38.4;0.007674275;3
A;13;WT;40.8;0.007831721;3
A;13;WT;43.2;0.009374996;3
A;13;WT;45.6;0.008284758;3
A;13;WT;48;0.00676342;3
A;13;WT;50.4;0.004618096;3
A;13;WT;52.8;0.005259521;3
A;13;WT;55.2;0.004803664;3
A;13;WT;57.6;0.004995646;3
A;13;WT;60;0.003270527;3
A;15;DFC;0;0.060804239;1
A;15;DFC;2.4;0.050594719;1
A;15;DFC;4.8;0.039970579;1
A;15;DFC;7.2;0.033337859;1
A;15;DFC;9.59;0.027590937;1
A;15;DFC;12;0.023895079;1
A;15;DFC;14.4;0.020407398;1
A;15;DFC;16.8;0.020314429;1
A;15;DFC;19.2;0.018426122;1
A;15;DFC;21.6;0.01582013;1
A;15;DFC;24;0.013264009;1
A;15;DFC;26.4;0.010825558;1
A;15;DFC;28.8;0.008577413;1
A;15;DFC;31.2;0.007185571;1
A;15;DFC;33.6;0.006368301;1
A;15;DFC;36;0.005840851;1
A;15;DFC;38.4;0.005393571;1
A;15;DFC;40.8;0.005296921;1
A;15;DFC;43.2;0.005900216;1
A;15;DFC;45.6;0.005641638;1
A;15;DFC;48;0.00472716;1
A;15;DFC;50.4;0.004193109;1
A;15;DFC;52.8;0.004059876;1
A;15;DFC;55.2;0.003696731;1
A;15;DFC;57.6;0.00356112;1
A;15;DFC;60;0.002887722;1
A;16;DFC;0;0.050035883;2
A;16;DFC;2.4;0.047562609;2
A;16;DFC;4.8;0.03706463;2
A;16;DFC;7.2;0.031618224;2
A;16;DFC;9.59;0.02689828;2
A;16;DFC;12;0.024134585;2
A;16;DFC;14.4;0.021194543;2
A;16;DFC;16.8;0.020089256;2
A;16;DFC;19.2;0.019819296;2
A;16;DFC;21.6;0.017486099;2
A;16;DFC;24;0.014601198;2
A;16;DFC;26.4;0.011611872;2
A;16;DFC;28.8;0.009346502;2
A;16;DFC;31.2;0.007862234;2
A;16;DFC;33.6;0.00705586;2
A;16;DFC;36;0.006559682;2
A;16;DFC;38.4;0.005930814;2
A;16;DFC;40.8;0.005843243;2
A;16;DFC;43.2;0.006331188;2
A;16;DFC;45.6;0.006170305;2
A;16;DFC;48;0.005192282;2
A;16;DFC;50.4;0.004661596;2
A;16;DFC;52.8;0.004383903;2
A;16;DFC;55.2;0.004218067;2
A;16;DFC;57.6;0.00376503;2
A;16;DFC;60;0.002844208;2
A;17;DFC;0;0.052009414;3
A;17;DFC;2.4;0.047887667;3
A;17;DFC;4.8;0.039220033;3
A;17;DFC;7.2;0.033447696;3
A;17;DFC;9.59;0.028307347;3
A;17;DFC;12;0.025068021;3
A;17;DFC;14.4;0.021392381;3
A;17;DFC;16.8;0.020046687;3
A;17;DFC;19.2;0.018769923;3
A;17;DFC;21.6;0.01655935;3
A;17;DFC;24;0.013494036;3
A;17;DFC;26.4;0.010768914;3
A;17;DFC;28.8;0.008516202;3
A;17;DFC;31.2;0.007067873;3
A;17;DFC;33.6;0.006456775;3
A;17;DFC;36;0.005906244;3
A;17;DFC;38.4;0.005443943;3
A;17;DFC;40.8;0.00542553;3
A;17;DFC;43.2;0.006032146;3
A;17;DFC;45.6;0.00565998;3
A;17;DFC;48;0.004663128;3
A;17;DFC;50.4;0.004313113;3
A;17;DFC;52.8;0.004081153;3
A;17;DFC;55.2;0.003880265;3
A;17;DFC;57.6;0.003424651;3
A;17;DFC;60;0.002698947;3
