date	time	metp
2022-10-11	00:00:00	7.2
2022-10-11	01:00:00	7.4
2022-10-11	02:00:00	7.3
2022-10-11	03:00:00	7.3
2022-10-11	04:00:00	7.2
2022-10-11	05:00:00	7.1
2022-10-11	06:00:00	7
2022-10-11	07:00:00	7.6
2022-10-11	08:00:00	8.5
2022-10-11	09:00:00	9.8
2022-10-11	10:00:00	11
2022-10-11	11:00:00	11.4
2022-10-11	12:00:00	12.2
2022-10-11	13:00:00	12.2
2022-10-11	14:00:00	11.1
2022-10-11	15:00:00	10.7
2022-10-11	16:00:00	10.2
2022-10-11	17:00:00	10.2
2022-10-11	18:00:00	9.7
2022-10-11	19:00:00	9.3
2022-10-11	20:00:00	8.6
2022-10-11	21:00:00	9
2022-10-11	22:00:00	8.7
2022-10-11	23:00:00	8.1
2022-10-12	00:00:00	8.3
2022-10-12	01:00:00	8.2
2022-10-12	02:00:00	7.7
2022-10-12	03:00:00	7.9
2022-10-12	04:00:00	8.6
2022-10-12	05:00:00	8.6
2022-10-12	06:00:00	8.4
2022-10-12	07:00:00	8.4
2022-10-12	08:00:00	9.1
2022-10-12	09:00:00	10
2022-10-12	10:00:00	11
2022-10-12	11:00:00	12.3
2022-10-12	12:00:00	12.6
2022-10-12	13:00:00	12.3
2022-10-12	14:00:00	12.3
2022-10-12	15:00:00	12.3
2022-10-12	16:00:00	11.9
2022-10-12	17:00:00	11.7
2022-10-12	18:00:00	11.1
2022-10-12	19:00:00	10.3
2022-10-12	20:00:00	9.3
2022-10-12	21:00:00	8.6
2022-10-12	22:00:00	8.1
2022-10-12	23:00:00	7.6
2022-10-13	00:00:00	7.5
2022-10-13	01:00:00	7.7
2022-10-13	02:00:00	8
2022-10-13	03:00:00	8
2022-10-13	04:00:00	8.1
2022-10-13	05:00:00	8.1
2022-10-13	06:00:00	8.2
2022-10-13	07:00:00	8.1
2022-10-13	08:00:00	8.6
2022-10-13	09:00:00	9.4
2022-10-13	10:00:00	10.6
2022-10-13	11:00:00	11.9
2022-10-13	12:00:00	12.7
2022-10-13	13:00:00	12.7
2022-10-13	14:00:00	12.7
2022-10-13	15:00:00	11.9
2022-10-13	16:00:00	11.6
2022-10-13	17:00:00	10.8
2022-10-13	18:00:00	10.9
2022-10-13	19:00:00	10.9
2022-10-13	20:00:00	10.9
2022-10-13	21:00:00	11
2022-10-13	22:00:00	10.6
2022-10-13	23:00:00	10.1
2022-10-14	00:00:00	9.8
2022-10-14	01:00:00	9.7
2022-10-14	02:00:00	9.6
2022-10-14	03:00:00	8.8
2022-10-14	04:00:00	7.5
2022-10-14	05:00:00	6.8
2022-10-14	06:00:00	7.3
2022-10-14	07:00:00	7.7
2022-10-14	08:00:00	8.2
2022-10-14	09:00:00	9
2022-10-14	10:00:00	10.1
2022-10-14	11:00:00	11.1
2022-10-14	12:00:00	12.5
2022-10-14	13:00:00	12.7
2022-10-14	14:00:00	13.2
2022-10-14	15:00:00	13
2022-10-14	16:00:00	12.4
2022-10-14	17:00:00	11.3
2022-10-14	18:00:00	10.5
2022-10-14	19:00:00	10.1
2022-10-14	20:00:00	9.5
2022-10-14	21:00:00	9
2022-10-14	22:00:00	8.9
2022-10-14	23:00:00	9.7
