DATE;TIME;FRAC_DAYS_SINCE_JAN1;FRAC_HRS_SINCE_JAN1;JULIAN_DAYS;EPOCH_TIME;ALARM_STATUS;INST_STATUS;CavityPressure;CavityTemp;DasTemp;EtalonTemp;WarmBoxTemp;species;MPVPosition;OutletValve;solenoid_valves;NH3;NH3_30s;NH3_5min;H2O;CO2;NH3_raw;NH3_dry;nh3_base_11;date.time;id;Vid;elapsed.time;treat
11-10-2022;00:18.6;283.5418822;6805.005173;284.5418822;1665493219;0;899;140.0064751;44.99950409;30.75;45.17440033;44.99983978;2;1;45623.97898;1;146.0446425;140.0598114;70.58212385;1.029205965;188.8478019;146.0446425;146.0446425;705.4230061;11-10-2022 13:00;1;V1;0;WT
11-10-2022;24:14.0;283.6418288;6807.40389;284.6418288;1665501854;0;899;139.9830933;45.00069428;29.25;45.17549896;45.00035858;2;1;45509.26563;1;510.6482008;507.7796478;483.4066148;1.080109009;144.814382;510.6482008;510.6482008;707.4755629;11-10-2022 15:24;1;0;2.4;WT
11-10-2022;48:09.8;283.7417799;6809.802718;284.7417799;1665510490;0;899;139.9990938;44.99927255;29.125;45.1742149;44.99898761;2;1;45541.33131;1;460.4316501;460.4598332;457.4512583;1.015481537;171.2126243;460.4316501;460.4316501;707.3712904;11-10-2022 17:48;1;0;4.8;WT
11-10-2022;12:04.3;283.8417165;6812.201195;284.8417165;1665519124;0;899;139.9894631;44.99898529;28.2904212;45.17647553;45.00075531;2;1;45514.82547;1;412.1660787;411.4501256;404.8533541;1.06297576;168.3800628;412.1660787;412.1660787;707.0416396;11-10-2022 20:12;1;0;7.2;WT
11-10-2022;35:59.9;283.9416656;6814.599974;284.9416656;1665527760;0;899;140.0126311;44.9992354;28;45.17556663;44.99946229;2;1;45500.76911;1;378.2352328;377.8252299;369.5842401;1.024889276;172.9059484;378.2352328;378.2352328;706.5872336;11-10-2022 22:35;1;0;9.59;WT
12-10-2022;59:56.2;284.041623;6816.998951;285.041623;1665536396;0;899;139.9828796;45.00063324;27.6875;45.17559052;44.99947357;2;1;45488.35156;1;317.7894013;317.4266541;315.1731279;1.007551898;154.4523104;317.7894013;317.7894013;706.2676281;12-10-2022 00:59;1;0;12;WT
12-10-2022;23:51.4;284.141567;6819.397608;285.141567;1665545031;0;899;139.9975798;45.0003891;27.9375;45.17675018;45.00045013;2;1;45481.14946;1;299.4584962;299.1990855;295.9755229;1.046832525;171.9587127;299.4584962;299.4584962;706.3248956;12-10-2022 03:23;1;0;14.4;WT
12-10-2022;47:47.4;284.241521;6821.796503;285.241521;1665553667;0;899;139.9912587;44.99999237;28;45.17617035;45.00008392;2;1;45472.18088;1;254.7739133;254.4876439;252.3408941;1.011191097;184.7572903;254.7739133;254.7739133;705.9787632;12-10-2022 05:47;1;0;16.8;WT
12-10-2022;11:42.9;284.3414684;6824.195241;285.3414684;1665562303;0;899;139.9945574;44.99959564;29.31453804;45.17693329;45.00121307;2;1;45512.42306;1;258.0434945;258.5522793;256.2278157;1.092562806;169.1587569;258.0434945;258.0434945;706.1028699;12-10-2022 08:11;1;0;19.2;WT
12-10-2022;35:39.1;284.441425;6826.5942;285.441425;1665570939;0;899;140.0172935;44.99990082;31;45.17632294;45.00124359;2;1;45609.17833;1;238.1617768;236.5044885;231.1151295;1.166382123;145.9938327;238.1617768;238.1617768;706.0576749;12-10-2022 10:35;1;0;21.6;WT
12-10-2022;59:33.6;284.5413614;6828.992674;285.5413614;1665579574;0;899;139.9994267;45.00014496;31.8125;45.17598724;45.00093842;2;1;45631.01047;1;193.7794292;194.4145489;201.3705781;1.157272039;141.4156371;193.7794292;193.7794292;705.7774153;12-10-2022 12:59;1;0;24;WT
12-10-2022;23:28.5;284.6413023;6831.391254;285.6413023;1665588209;0;899;139.9981504;44.99996185;31.625;45.17464447;44.99977875;2;1;45609.84999;1;156.1668901;156.229929;152.5524071;1.224907239;151.6938094;156.1668901;156.1668901;705.5894006;12-10-2022 15:23;1;0;26.4;WT
12-10-2022;47:24.8;284.7412595;6833.790227;285.7412595;1665596845;0;899;139.9934475;44.99999237;30.5;45.17485809;44.99938202;2;1;45544.59384;1;136.8320369;136.6407815;135.5757671;1.089595711;188.6455505;136.8320369;136.8320369;705.3681639;12-10-2022 17:47;1;0;28.8;WT
12-10-2022;11:19.9;284.8412025;6836.18886;285.8412025;1665605480;0;899;139.9901652;44.99959133;28.53600544;45.17507172;44.99909907;2;1;45445.72737;1;105.9272078;105.2449021;102.9551928;0.990703045;207.8960757;105.9272078;105.9272078;704.9828584;12-10-2022 20:11;1;0;31.2;WT
12-10-2022;35:16.9;284.9411682;6838.588036;285.9411682;1665614117;0;899;140.0057773;45.00041962;27.4375;45.17592621;44.99925995;2;1;45356.34651;1;88.52858307;88.00532895;86.46340238;0.937567792;215.281466;88.52858307;88.52858307;704.8835269;12-10-2022 22:35;1;0;33.6;WT
